"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"armortype_atfortified";"Verstärkt";"Fortified";"Fortifié";"Fortificado";"Укреплённый";"Fortificado";"Fortificata";"Befæstet";"Befäst";"Verstevigd";"Wzmocniony";"Vahvistettu";"Fortificado";"Kule";"";"Opevněný";"Ενισχυμένη";"Megerősített";"Befestet";"Fortificat";"Fortificado";"Укріплений";"محصنه";"已强化";"強化";"";"요새형";"";""
"armortype_atfortified_caption";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"0 %";"0%";"%0";"";"0%";"0%";"0%";"0%";"0%";"0%";"0%";"٠‏٪";"0%";"0%";"";"0%";"";""
"armortype_atfortified_hint";"- Verstärkte Rüstung -\nErhält 400% Schaden durch Belagerungswaffen.";"<span class=""headline"">- Fortified Armor -</span>\nReceives 400% damage from siege units.";"<span class=""headline"">- Armure fortifiée -</span>\nReçois 400% de dégâts des unités de sièges.";"<span class=""headline"">- Armadura Fortificada -</span>\nRecebe 400% de dano das unidades de cerco.";"<span class=""headline"">- Укреплённая броня -</span>\nПринимает 400% урона от осадных юнитов.";"<span class=""headline"">- Armadura Fortificada -</span>\nRecibe 400% de daño de unidades de asedio.";"<span class=""headline"">- Armatura Fortificata -</span>\nSubisce il 400% dei danni dalle unità d'assedio.";"Befæstet rustning -\nFår 400% skade fra belejring units.";"<span class=""headline"">- Befäst Rustning -</span>\nFår 400% skada från belägrings enheter.";"Verstevigd Pantser -\nKrijgt 400% schade van siege troepen.";"<span class=""headline"">- Wzmocniony Pancerz -</span>\nOtrzymuje 400% obrażeń od jednostek oblężniczych.";"<span class=""headline"">- Vahvistettu panssari -</span>\nOttaa 400 % vahinkoa piiritysyksiköistä.";"<span class=""headline"">- Fortificar Armadura -</span>\nRecebe 400% a menos de dano de unidades de cerco.";"<span class=""headline"">- Kule -</span>\nKuşatma birimlerinden %400 hasar alır.";"";"<span class=""headline"">- Opevnění-</span>\nObdrží 400% poškození od obléhacích jednotek.";"<span class=""headline"">- Ενισχυμένη Πανοπλία -</span>\nΛαμβάνει ζημιά 400% από πολιορκητικές μονάδες.";"<span class=""headline"">- Megerősített Páncél -</span>\n400%-kal több sebzést szenved el ostrom egységektől.";"<span class=""headline"">- Forsterkede Rustning -</span>\nMottar 400% skade fra beleirings enheter.";"<span class=""headline"">- Armură Fortificată -</span>\nPrimește daune de 400% din unitățile de asediu.";"<span class=""headline"">- Armadura Fortalecida -</span>\nRecibe 400% de daño de las unidades de asedio.";"<span class=""headline"">-Укріплена броня-</span>\nПриймає 400% пошкоджень від облогових юнітів.";"الدرع المحصن يتضرر بنسبة 400% من وحدات الحصار";"<span class=""headline"">- 强化装甲 -</span>\n将受到攻城单位 400% 的伤害。";"<span class=""headline"">- 強化裝甲 -</span>\n將受到攻城單位 400% 的傷害。";"";"<span class=""headline"">- 요새형 방어구 -</span>\n공성 유닛으로부터 받는 피해가 400% 증가됩니다.";"";""
"armortype_atheavy";"Schwer";"Heavy";"Lourde";"Pesada";"Тяжёлая";"Pesada";"Pesante";"Tung";"Tung";"Zwaar";"Ciężki";"Raskas";"Pesada";"Ağır";"";"Těžký";"Βαριά";"Nehéz";"Tungt";"Puternic";"Pesado";"Важка";"ثقيل";"重型";"重型";"";"대형";"";""
"armortype_atheavy_caption";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+ 5)";"30% (+5)";"30% (+5)";"30 % (+5)";"30% (+5)";"%30 (+5)";"";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"30% (+5)";"";"30% (+5)";"";""
"armortype_atheavy_hint";"- Schwere Rüstung -\nErhält aus allen Quellen 30% verminderten Schaden und reduziert ihn danach zusätzlich um 5. Der Schaden kann maximal auf 1 reduziert werden.";"<span class=""headline"">- Heavy Armor -</span>\nReduces all damage by 30% (+5). Damage can only be reduced to 1 at max.";"<span class=""headline"">- Armure lourde -</span>\nReduit tous les dégâts de 30% (+5). Les dégâts ne peuvent être réduit qu'à 1 au maximum.";"<span class=""headline"">- Armadura Pesada -</span>\nReduz todo o dano por 30% (+5). O dano só pode ser reduzido até 1 no máximo.";"<span class=""headline"">- Тяжёлая броня -</span>\nУменьшает весь полученный урон на 30% (+5). Полученный урон не может быть меньше 1 единицы.";"<span class=""headline"">- Armadura Pesada -</span>\nReduce todo el daño un 30% (+5). El daño solo puede ser reducido de máximo a 1 punto.";"<span class=""headline"">- Armatura Pesante -</span>\nRiduce tutti i danni del 30% (+5). I danni posso essere ridotti al massimo fino ad 1.";"<span class=""headline"">- Tung rustning -</span>\nFormindsker alt skade med 30% (+5). Skade kan ikke formindskes under 1.";"<span class=""headline"">- Tung Rustning -</span>\nMinskar skador med 30% (+5). Skador kan minskas till 1 som lägst.";"Zwaar Pantser -\nReduceert inkomende schade met 30% en additioneel met 5. Schade kan niet verder gereduceerd worden dan tot 1.";"<span class=""headline"">- Ciężki Pancerz -</span>\nZmniejsza otrzymywane obrażenia o 30% (+5). Obrażenia mogą być zdredukowane do maksymalnie 1.";"<span class=""headline"">- Raskaspanssari -</span>\nVähentää kaikkea otettua vahinkoa 30 % (+5). Vahinkoa voi laskea enintään yhteen.";"<span class=""headline"">- Armadura Pesada -</span>\nReduza todo dano em 30% (+5). Dano poderá ser reduzido até o máximo de 1.";"<span class=""headline"">- Ağır Zırh -</span>\nGelen tüm saldırı hasarları %30 (+5) [en fazla 1 hasar kalana kadar] azaltılır.";"";"<span class=""headline"">- Těžké brnění-</span>\nSníží všechno poškození o 30% (+5). Poškození může být sníženo maximálně na 1.";"<span class=""headline"">- Βαριά Πανοπλία -</span>\nΜειώνει όλες τις ζημιές κατά 30% (+5). Μπορούν να μειωθούν ως το 1 το μέγιστο.";"<span class=""headline"">- Nehéz Páncélzat -</span>\nCsökkenti a kapott sebzést 30 (+5)%-kal. A kapott sebzés nem lehet kisebb mint 1.";"<span class=""headline"">- Tung Rustning -</span>\nReduserer all skade av 30% (+5). Skade kan bare være redusert til 1 på maks.";"<span class=""headline"">- Armură Puternică -</span>\nReduce toate daunele cu 30% (+5). Daunele pot fi reduse la 1 la maxim.";"<span class=""headline"">- Armadura pesada -</span>\nReduce todo el daño un 30% (+5). El daño solo puede reducirse a 1 como máximo.";"<span class=""headline"">- Важка броня -</span>\nЗменшує всю шкоду на 30% (+5). Отримана шкода не може бути менше 1 одиниці.";"";"<span class=""headline"">- 重型装甲 -</span>\n减少所有伤害 30% (+5)。伤害值不会因此取消，被缩减后最小伤害值为 1。";"<span class=""headline"">- 重型裝甲 -</span>\n減少所有傷害 30% (+5)。傷害值不會因此取消，被縮減後最小傷害值為 1。";"";"<span class=""headline"">- 대형 방어구 -</span>\n모든 피해량이 30% (+5) 감소합니다. 피해량은 1 이하로 줄어들지 않습니다.";"";""
"armortype_atlight";"Leicht";"Light";"Légère";"Leve";"Лёгкая";"Ligero";"Leggera";"Let";"Lätt";"Licht";"Lekki";"Kevyt";"Luz";"Hafif";"";"Lehký";"Ελαφριά";"Könnyű";"Lett";"Ușoară";"Luz";"Легка";"خفيف";"轻型";"輕量";"";"경형";"";""
"armortype_atlight_caption";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15 %";"15%";"%15";"";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"15%";"";"15%";"";""
"armortype_atlight_hint";"- Leichte Rüstung -\nErhält aus allen Quellen 15% verminderten Schaden.";"<span class=""headline"">- Light Armor -</span>\nReduces all damage by 15%.";"<span class=""headline"">- Armure légère -</span>\nRéduit tous les dégâts de 15%.";"<span class=""headline"">- Armadura Leve -</span>\nReduz todo o dano por 15%.";"<span class=""headline"">- Лёгкая броня -</span>\nУменьшает весь урон на 15%.";"<span class=""headline"">- Armadura Ligera -</span>\nReduce todo el daño un 15%.";"<span class=""headline"">- Armatura Leggera -</span>\nRiduce tutti i danni del 15%.";"- Let rustning -\nFormindsker alt skade med 15%.";"<span class=""headline"">- Lätt Rustning -</span>\nMinskar alla skador med 15%.";"Licht Pantser -\nReduceerd alle inkomende schade met 15%.";"<span class=""headline"">- Lekki Pancerz -</span>\nZmniejsza otrzymywane obrażenia o 15%.";"<span class=""headline"">- Kevytpanssari -</span>\nVähentää kaikkea otettua vahinkoa 15 %.";"<span class=""headline"">- Arnadura Leve -</span>\nReduza dano em 15%.";"<span class=""headline"">- Hafif Zırh -</span>\nGelen tüm saldırı hasarları %15 azaltılır.";"";"<span class=""headline"">- Lehké Brnění-</span>\nSníží všechno poškození o 15%.";"<span class=""headline"">- Ελαφριά Πανοπλία -</span>\nΜειώνει όλες τις ζημιές κατά 15%.";"<span class=""headline"">- Könnyű Páncélzat -</span>\nCsökkenti a kapott sebzést 15%-kal.";"<span class=""headline"">- Lett rustning -</span>\nReduserer all skade med 15%.";"<span class=""headline"">- Armură ușoară -</span>\nReduce toate daunele cu 15%.";"<span class=""headline"">- Armadura ligera -</span>\nReduce todo el daño en un 15%.";"<span class=""headline"">- Легка броня -</span>\nЗменшує всю шкоду на 15%.";"";"<span class=""headline"">- 轻量装甲 -</span>\n减少所有伤害 15%。";"<span class=""headline"">- 輕量裝甲 -</span>\n減少所有傷害 15%。";"";"<span class=""headline"">- 경형 방어구 -</span>\n모든 피해량이 15%만큼 감소합니다.";"";""
"armortype_atmedium";"Mittelstark";"Medium";"Moyenne";"Média";"Средняя";"Medio";"Media";"Medium";"Medium";"Middelmatig";"Średni";"Normaali";"Média";"Kalın";"";"Střední";"Μεσαία";"Közepes";"Medium";"Medie";"Medio";"Середня";"متوسط";"中级";"中等";"";"중형";"กลาง";""
