"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"card_requirement_card_unlock";"Schalte die Karte <span class=""cardname"">%s</span> frei.";"Unlock the card <span class=""cardname"">%s</span>.";"Déverrouillez la carte <span class=""cardname"">%s</span>.";"Desbloqueia a carta <span class=""cardname"">%s</span>.";"Откройте карту <span class=""cardname"">%s</span>.";"Desbloquea la carta <span class=""cardname"">%s</span>.";"Sblocca la carta <span class=""cardname"">%s</span>.";"";"";"Ontgrendel de kaart <span class=""cardname"">%s</span>.";"Odblokuj kartę <span class=""cardname"">%s</span>.";"Avaa kortti <span class=""cardname"">%s</span>.";"Desbloqueie a carta <span class=""cardname"">%s</span>.";"<span class=""cardname"">%s</span> kartını aç.";"";"Odemkni kartu <span class=""cardname"">%s</span>.";"Ξεκλείδωσε την κάρτα <span class=""cardname"">%s</span>.";"Oldd fel a következő kártyát: <span class=""cardname"">%s</span>.";"";"Deblocați cardul <span class=""cardname"">%s</span>.";"Desbloquee la tarjeta <span class=""cardname"">%s</span>.";"Відкрийте карту <span class=""cardname"">%s</span>.";"فتح البطاقة <span class=""cardname"">%s</span>.";"";"解鎖此卡 <span class=""cardname"">%s</span>。";"";"<span class=""cardname"">%s</span> 카드 잠금 해제.";"";""
"card_requirement_event_card_play_";"Spiele <span class=""questcount"">%d</span> mal die Karte <span class=""cardname"">%s</span> aus.";"Play the card <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> times.";"Jouez la carte <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> fois.";"Joga a carta <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> vezes.";"Сыграйте в карту <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> раз.";"Juega la carta <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> veces.";"Gioca la carta <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> volte.";"";"";"Speel de kaar <span class=""cardname"">%1:s</span><span class=""questcount"">%0:d</span> keer.";"Zagraj kartą <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> razy.";"Pelaa kortti <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> kertaa.";"Jogue a carta <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> vezes.";"<span class=""cardname"">%1:s</span> kartını <span class=""questcount"">%0:d</span> defa kullan.";"";"Zahrej kartu <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> ×.";"Παίξε την κάρτα <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> φορές.";"Játszd ki a(z) <span class=""cardname"">%1:s</span> kártyát <span class=""questcount"">%0:d</span> alkalommal.";"";"Joacă cartea <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> ori.";"Juega la tarjeta <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> veces.";"Зіграйте в карту <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> раз.";"";"";"使用此卡 <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> 次。";"";"<span class=""cardname"">%1:s</span>을(를) <span class=""questcount"">%0:d</span>번 사용.";"";""
"card_requirement_event_global_gain_damage";"Lass deine Einheiten insgesamt <span class=""questcount"">%d</span> Schaden erhalten.";"Let your units take <span class=""questcount"">%d</span> damage altogether.";"Laissez vos unités subir <span class=""questcount"">%d</span> de dégâts en tout.";"Deixa as tuas unidades receberem <span class=""questcount"">%d</span> dano por completo.";"Пусть ваши юниты возьмут <span class=""questcount"">%d</span> урона всего.";"Deja que tus unidades reciban <span class=""questcount"">%d</span> daño.";"Fai in modo che le tue unità subiscano <span class=""questcount"">%d</span> danni totali.";"";"";"Laat je eenheden <span class=""questcount"">%d</span> schade in totaal opnemen.";"Twoje jednoski muszą otrzymać łącznie <span class=""questcount"">%d</span> obrażeń.";"Anna yksiköittesi ottaa yhteensä <span class=""questcount"">%d</span> vahinkoa.";"Faça com que suas unidades recebam <span class=""questcount"">%d</span> de dano juntas.";"Birliklerinin <span class=""questcount"">%d</span> hasar almasına izin ver.";"";"Nech jednotky vstřebat dohromady <span class=""questcount"">%d</span> poškození.";"Άσε τις μονάδες σου να λάβουν συνολική ζημιά <span class=""questcount"">%d</span>.";"Az egységeid együttesen szenvedjenek el <span class=""questcount"">%d</span> sebzést.";"";"Lasa-ti unitățile <span class=""questcount"">%d</span> daune cu totul.";"Deja que tus unidades reciban <span class=""questcount"">%d</span> de daño total.";"Нехай ваші юніти отримають всього <span class=""questcount"">%d</span> шкоди.";"";"";"讓你的單位一起受到 <span class=""questcount"">%d</span> 傷害。";"";"유닛들로 총 <span class=""questcount"">%d</span>의 피해 받기.";"";""
"card_requirement_event_global_kills";"Töte <span class=""questcount"">%d</span> feindliche Einheiten.";"Kill <span class=""questcount"">%d</span> enemy units.";"Tuez <span class=""questcount"">%d</span> unités ennemies.";"Elimina <span class=""questcount"">%d</span> unidades inimigas.";"Убейте <span class=""questcount"">%d</span> вражеских юнитов.";"Mata <span class=""questcount"">%d</span> unidades enemigas.";"Uccidi <span class=""questcount"">%d</span> unità nemiche.";"";"";"";"Zgładź <span class=""questcount"">%d</span> jednostek przeciwnika.";"Tapa <span class=""questcount"">%d</span> vihollisyksikköä.";"Mate <span class=""questcount"">%d</span> unidades inimigas.";"<span class=""questcount"">%d</span> düşman öldür.";"";"Znič <span class=""questcount"">%d</span> jednotek soupeře.";"Σκότωσε <span class=""questcount"">%d</span> εχθρικές μονάδες.";"Ölj meg <span class=""questcount"">%d</span> ellenséges egységet.";"";"Omoară <span class=""questcount"">%d</span> unități inamice.";"Mata a <span class=""questcount"">%d</span> unidades enemigas.";"Вбийте <span class=""questcount"">%d</span> ворожих юнітів.";"";"";"打死 <span class=""questcount"">%d</span> 敵方單位。";"";"적 유닛 <span class=""questcount"">%d</span>명 처치.";"";""
"card_requirement_event_global_spawns";"Beschwöre <span class=""questcount"">%d</span> Einheiten.";"Summon <span class=""questcount"">%d</span> units.";"Invoquez <span class=""questcount"">%d</span> unités.";"Convoca <span class=""questcount"">%d</span> unidades.";"Призовите <span class=""questcount"">%d</span> юнитов.";"Invoca <span class=""questcount"">%d</span> unidades.";"Evoca <span class=""questcount"">%d</span> unità.";"";"";"";"Przywołaj <span class=""questcount"">%d</span> jednostek.";"Kutsu <span class=""questcount"">%d</span> yksikköä.";"Invoque <span class=""questcount"">%d</span> unidades.";"<span class=""questcount"">%d</span> birim çağır.";"";"Vyvolej <span class=""questcount"">%d</span> jednotek.";"Επιστράτευσε <span class=""questcount"">%d</span> μονάδες.";"Idézz <span class=""questcount"">%d</span> egységet.";"";"Convoacă <span class=""questcount"">%d</span> unitați.";"Invoca a <span class=""questcount"">%d</span> unidades.";"Виробіть <span class=""questcount"">%d</span> юнітів.";"";"";"召喚 <span class=""questcount"">%d</span> 個單位。";"";"유닛 <span class=""questcount"">%d</span>번 소환.";"";""
"card_requirement_event_single_card_play_countoftype";"Spiele in einem einzelnen Spiel eine Karte <span class=""questcount"">%0:d</span> mal.";"Play a certain card <span class=""questcount"">%0:d</span> times in a <span class=""highlight"">single game</span>.";"Jouez une certaine carte <span class=""questcount"">%0:d</span> fois dans <span class=""keyword"">une seule partie</span>.";"Joga uma determinada carta <span class=""questcount"">%0:d</span> vezes num <span class=""highlight"">unico jogo</span>.";"Сыграйте определенную карту <span class=""questcount"">%0:d</span> раз в <span class=""highlight"">одной игре</span>.";"Juega una determinada carta <span class=""questcount"">%0:d</span> veces en un <span class=""highlight"">juego individual</span>.";"Gioca una certa carta <span class=""questcount"">%0:d</span> volte in una <span class=""keyword"">singola partita</span>.";"";"";"";"Zagraj określoną kartę <span class=""questcount"">%0:d</span> razy w <span class=""highlight"">jednej grze</span>.";"";"Jogue especificamente a carta <span class=""questcount"">%0:d</span> vezes numa <span class=""highlight"">única partida</span>.";"Aynı kartı <span class=""keyword"">tek oyun</span> içerisinde <span class=""questcount"">%0:d</span> kere kullan.";"";"Zahrej kteroukoliv kartu <span class=""questcount"">%0:d</span> × v <span class=""keyword"">jednom zápase</span>.";"Παίξε μια συγκεκριμένη κάρτα <span class=""questcount"">%0:d</span> φορές σε ένα <span class=""keyword"">μονό παιχνίδι</span>.";"Játssz ki egy bizonyos kártyát <span class=""questcount"">%0:d</span> alkalommal <span class=""highlight"">egy meccsben</span>.";"";"Joacă o anumită carte <span class=""questcount"">%0:d</span> într-un <span class=""highlight""> singur joc</span>.";"Jugar una tarjeta determinada <span class=""questcount"">%0:d</span> veces en un <span class=""highlight"">solo juego</span>.";"Зіграйте певну карту<span class=""questcount"">%0:d</span> раз в <span class=""highlight"">одній грі</span>.";"";"";"在 <span class=""highlight"">單一遊戲</span> 中，使用特定卡片 <span class=""questcount"">%0:d</span> 次。";"";"<span class=""highlight"">한 게임</span>에서 특정한 카드를 <span class=""questcount"">%0:d</span>번 사용.";"";""
"card_requirement_event_single_wela_gain_damage_max";"Lass eine <span class=""highlight"">einzelne</span> Einheit mindestens <span class=""questcount"">%d</span> Schaden erhalten.";"Let a <span class=""highlight"">single</span> unit take at least <span class=""questcount"">%d</span> damage.";"Laissez une <span class=""highlight"">seule</span> de vos unités subir au moins <span class=""questcount"">%d</span> de dégâts.";"Deixa pelo menos <span class=""highlight"">uma única</span> unidade receber <span class=""questcount"">%d</span> dano.";"Пусть <span class=""highlight"">одиночный</span> юнит возьмёт как минимум <span class=""questcount"">%d</span> урона.";"Deja una <span class=""highlight"">sola</span> unidad que reciba <span class=""questcount"">%d</span> daño.";"Fai in modo che una <span class=""highlight"">singola</span> unità subisca almeno <span class=""questcount"">%d</span> danni.";"";"";"";"Pozwól <span class=""highlight"">pojedynczej</span> jednostce otrzymać co najmniej <span class=""questcount"">%d</span> obrażeń.";"Anna <span class=""highlight"">yhden</span> yksikön ottaa vähintään <span class=""questcount"">%d</span> vahinkoa.";"Deixe que <span class=""highlight"">uma</span> unidade leve pelo menos <span class=""questcount"">%d</span> de dano.";"<span class=""highlight"">Tek</span> bir birliğin en az <span class=""questcount"">%d</span> hasar almasına izin ver.";"";"Nech <span class=""highlight"">jednu</span> jednotku obdržet alespoň <span class=""questcount"">%d</span> poškození.";"Άσε μια <span class=""highlight"">μονή</span> μονάδα να λάβει ζημιά <span class=""questcount"">%d</span> τουλάχιστον.";"Érd el, hogy <span class=""highlight"">egyetlen</span> egység legalább <span class=""questcount"">%d</span>-t sebződjön.";"";"Lăsați o unitate <span class=""highlight"">unică</span> să ia cel puțin <span class=""questcount"">%d</span> daune.";"Deja que <span class=""highlight"">una sola</span> unidad reciba al menos <span class=""questcount"">%d</span> de daño.";"Нехай <span class=""highlight"">одиночний</span> юніт візьме як мінімум <span class=""questcount"">%d</span> шкоди.";"";"";"讓一個 <span class=""highlight"">單一</span> 單位至少承受 <span class=""questcount"">%d</span> 的傷害。";"";"<span class=""highlight"">한 명</span>의 유닛으로 최소 <span class=""questcount"">%d</span>의 피해 받기.";"";""
"card_requirement_event_unit_kills_";"Töte <span class=""questcount"">%d</span> feindliche Einheiten mit <span class=""cardname"">%s</span>.";"Kill <span class=""questcount"">%d</span> enemy units using <span class=""cardname"">%s</span>.";"Tuez <span class=""questcount"">%d</span> unités ennemies avec <span class=""cardname"">%s</span>.";"Elimina <span class=""questcount"">%d</span> unidades inimigas usando <span class=""cardname"">%s</span>.";"Убейте <span class=""questcount"">%d</span> вражеских юнитов, используя <span class=""cardname"">%s</span>.";"Mata <span class=""questcount"">%d</span> unidades enemigas usando <span class=""cardname"">%s</span>.";"Uccidi <span class=""questcount"">%d</span> unità nemiche usando <span class=""cardname"">%s</span>.";"";"";"";"Zgładź <span class=""questcount"">%d</span> wrogich jednostek używając jednostki <span class=""cardname"">%s</span>.";"Tapa <span class=""questcount"">%d</span> vihollisyksikköä käyttämällä korttia <span class=""cardname"">%s</span>.";"Mate <span class=""questcount"">%d</span> unidades inimigas utilizando <span class=""cardname"">%s</span>.";"<span class=""cardname"">%1:s</span> kartını kullanarak <span class=""questcount"">%0:d</span> düşman öldür.";"";"Znič <span class=""questcount"">%d</span> jednotek protivníka využitím <span class=""cardname"">%s</span>.";"Σκότωσε <span class=""questcount"">%d</span> εχθρικές μονάδες χρησιμοποιώντας την κάρτα <span class=""cardname"">%s</span>.";"Ölj meg <span class=""questcount"">%d</span> ellenséges egységet <span class=""cardname"">%s</span> használatával.";"";"Omoară <span class=""questcount"">%d</span> unități inamice folosind <span class=""cardname"">%s</span>.";"Mata a <span class=""questcount"">%d</span> unidades enemigas usando <span class=""cardname"">%s</span>.";"Вбийте <span class=""questcount"">%d</span> ворожих юнітів, використовуючи <span class=""cardname"">%s</span>.";"";"";"使用 <span class=""cardname"">%s</span> 殺死 <span class=""questcount"">%d</span> 敵方單位。";"";"<span class=""cardname"">%s</span>(으)로 적 유닛 <span class=""questcount"">%d</span>명 처치.";"";""
"card_requirement_event_unit_kills_sapling";"Töte <span class=""questcount"">%d</span> Einheiten mit <span class=""sapling"">§card_name_sapling_plural</span>.";"Kill <span class=""questcount"">%d</span> units using <span class=""sapling"">§card_name_sapling_plural</span>.";"Tuer <span class=""questcount"">%d</span> unités avec <span class=""sapling"">§card_name_sapling_plural</span>.";"Elimina <span class=""questcount"">%d</span> unidades usando <span class=""sapling"">§card_name_sapling_plural</span>.";"Убейте <span class=""questcount"">%d</span> юнитов, используя <span class=""sapling"">§card_name_sapling_plural</span>.";"Mata <span class=""questcount"">%d</span> unidades usando <span class=""sapling"">§card_name_sapling_plural</span>.";"Uccidi <span class=""questcount"">%d</span> unità usando <span class=""sapling"">§card_name_sapling_plural</span>.";"";"";"";"Zgładź <span class=""questcount"">%d</span> jednostek używając jednostki <span class=""sapling"">§card_name_sapling_plural</span>.";"Tapa <span class=""questcount"">%d</span> yksikköä käyttämällä korttia <span class=""sapling"">§card_name_sapling_plural</span>.";"Mate <span class=""questcount"">%d</span> unidades utilizando <span class=""sapling"">Plantídeos</span>.";"<span class=""sapling"">§card_name_sapling_plural</span> kullanarak <span class=""questcount"">%d</span> birlik öldür.";"";"Znič <span class=""questcount"">%d</span> jednotek pomocí <span class=""sapling"">§card_name_sapling_plural</span>.";"Σκότωσε <span class=""questcount"">%d</span> μονάδες χρησιμοποιώντας τα <span class=""sapling"">§card_name_sapling_plural</span>.";"";"";"Ucide <span class=""questcount"">%d</span> unități folosind <span class=""sapling"">§nume_card_puiet_plural</span>.";"Mata a <span class=""questcount"">%d</span> unidades usando <span class=""sapling"">§card_name_sapling_plural</span>.";"Вбийте <span class=""questcount"">%d</span> юнітів, використовуючи <span class=""sapling"">§card_name_sapling_plural</span>.";"";"";"使用 <span class=""sapling"">§card_name_sapling_plural</span> 殺死 <span class=""questcount"">%d</span> 個單位。";"";"<span class=""sapling"">§card_name_sapling_plural</span>으로 유닛 <span class=""questcount"">%d</span>명 처치.";"";""
"card_requirement_event_unit_spawns_";"Erschaffe <span class=""questcount"">%d</span> mal ein <span class=""cardname"">%s</span>.";"Summon <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> times.";"Invoquez <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> fois.";"Convoca <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> vezes.";"Призовите <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> раз.";"Invoca <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> veces.";"Evoca <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> volte.";"";"";"";"Przywołaj jednostkę <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> razy.";"Kutsu <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> kertaa.";"Invoque <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> vezes.";"<span class=""questcount"">%0:d</span> defa <span class=""cardname"">%1:s</span> çağır.";"";"Vyvolej <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> ×.";"Επιστράτευσε την κάρτα <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> φορές.";"";"";"Convocă <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> ori.";"Invoca a <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> veces.";"Виробіть <span class=""cardname"">%1:s</span> <span class=""questcount"">%0:d</span> раз.";"";"";"召喚 <span class=""cardname"">%1:s</span> 單位 <span class=""questcount"">%0:d</span> 次。";"";"<span class=""cardname"">%1:s</span>을(를) <span class=""questcount"">%0:d</span>번 소환.";"";""
