"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"home_translation_text";"Klicke hier, um uns bei der Übersetzung des Spiels zu unterstützen";"Click here to help us translate the game";"Cliquez ici pour nous aider à traduire le jeu";"Clique aqui para ajudar-nos a traduzir o jogo";"Нажмите сюда, чтобы помочь нам перевести игру";"Click aquí para ayudarnos a traducir el juego";"Clicca qui per aiutarci a tradurre il gioco";"Klik her for at hjælpe med at oversætte spillet";"Klicka här för att hjälpa oss att översätta spelet";"Klik hier om ons te helpen Rise of Legions te vertalen";"Kliknij tutaj, aby pomóc w tłumaczeniu gry";"Klikkaa tästä auttaaksesi pelin kääntämisessä";"Clique aqui para ajudar-nos a traduzir o jogo";"Oyunun çevirisinde yardımcı olmak için buraya tıkla";"Щракнете тук, за да ни помогнете с превод на играта";"Klikni zde pro pomoc s překladem hry";"Κλίκαρε εδώ για να μας βοηθήσεις να μεταφράσουμε το παιχνίδι";"Kattintson ide, hogy segítsen lefordítani a játékot";"";"Faceți clic aici pentru a ne ajuta să traducem jocul";"Haz clic aquí para ayudarnos a traducir el juego";"Натисніть тут, щоб допомогти нам перекласти гру";"اضغط هنا لمساعدتنا في ترجمة اللعبة";"请点击此处帮助我们完善此游戏的语系翻译";"請點擊此處幫助我們完善此遊戲的語系翻譯";"";"게임 번역을 도우려면 여기를 클릭하세요";"";""
"home_scill_text";"Klicke hier, um mehr Quests, Achievements und Belohnungen zu bekommen";"Click here to receive even more quests, achievements and rewards";"Cliquez ici pour recevoir encore plus de quêtes, d'accomplissements et de récompenses";"Clica aqui para receberes ainda mais missões, conquistas e recompensas";"Нажмите здесь для получения еще большего количества заданий, достижений и наград";"Haz clic aquí para recibir aún más misiones, logros y recompensas.";"Clicca qui per ricevere ancora più missioni, obiettivi e ricompense";"Klik her for at modtage endnu flere opgaver, bedrifter og belønninger";"Klicka här för att få ännu fler uppdrag, prestationer och belöningar";"";"Kliknij tutaj aby otrzymać jeszcze więcej zadań, osiągnięć i nagród";"";"Clique aqui para receber ainda mais missões, conquistas e recompensas";"Daha fazla görev, başarım ve ödüller almak için buraya tıkla";"Кликнете тук, за да получите още повече търсения, постижения и награди";"Kliknutím sem získáte ještě více úkolů, úspěchů a odměn";"Κλίκαρε εδώ, για να λαμβάνεις ακόμη περισσότερες αποστολές, επιτεύγματα και ανταμοιβές";"Kattints ide további küldetésekért, eredményeket és jutalmakért";"";"Faceți clic aici pentru a primi și mai multe misiuni, realizări și recompense";"Haz clic aquí para recibir aún más misiones, logros y recompensas.";"Натисніть тут для отримання ще більшої кількості завдань, досягнень і нагород";"اضغط هنا للحصول على المزيد من المهام و الإنجازات و المكافآت";"请点击此处能获得更多任务、成就与奖赏。";"請點擊此處能收到更多任務、成就與獎賞。";"";"더 많은 퀘스트, 도전 과제 및 보상을 받으려면 여기를 클릭하세요";"";""
"home_discord_text";"Klicke hier, um unserem Discord-Server beizutreten";"Click here to join our Discord server";"Cliquez ici pour rejoindre notre serveur Discord";"Clique aqui para juntares-te ao nosso servidor no Discord";"Нажмите сюда, чтобы присоединиться к нашему серверу Discord";"Click aquí para unirte a nuestro Discord";"Clicca qui per unirti al nostro server Discord";"Klik her for at slutte dig til vores Discord-server";"Klicka här för att gå med i vår Discord-server";"Klik hier om onze Discord server toe te treden";"Kliknij tutaj, aby dołączyć do naszego serwera Discord";"Klikkaa tästä liittyäksesi Discord-palvelimellemme";"Clique aqui para se juntar ao nosso servidor no Discord";"Discord sunucumuza katılmak için buraya tıkla";"Кликнете тук, за да се присъедините към нашия Discord сървър";"Klikni sem pro připojení na náš Discord server";"Κλίκαρε εδώ για να γίνεις μέλος στο διακομιστή μας στο Discord";"";"";"Faceți clic aici pentru a vă alătura serverului nostru de Discord";"Haz clic aquí para unirte a nuestro servidor de Discord";"Натисніть тут, щоб приєднатися до нашого сервера Discord";"";"请点击此处加入我们的 Discord 伺服频道";"請點擊此處加入我們的 Discord 伺服頻道";"";"Discord(디스코드) 서버에 가입하려면 여기를 클릭하세요";"";""
"home_social_text";"Folge uns in den sozialen Medien";"Follow us on social media";"Suivez-nous sur les réseaux sociaux";"Segue-nos nas redes sociais";"Следите за нами в социальных сетях";"Síguenos en las redes sociales";"Seguici sui Social";"Følg os på de sociale medier";"Följ oss på sociala medier";"Volg ons op social media";"Śledź nas w mediach społecznościowych";"Seuraa meitä sosiaalisessa mediassa";"Siga-nos nas redes sociais";"Bizi sosyal medya'da takip edin";"Следвайте ни в социалните мрежи";"Sleduj nás na sociálních sítích";"Ακολούθησέ μας στα μέσα κοινωνικής δικτύωσης";"Kövess a közösségi oldalainkon";"";"Urmăriți-ne pe Social Media";"Síguenos en las redes sociales";"Слідкуйте за нами в соціальних мережах";"تابعنا على وسائل التواصل الإجتماعي";"在社交媒体上关注我们";"在社群媒體上跟隨我們";"";"소셜 미디어에서 팔로우하기";"";""
"home_wiki_text";"Klicke hier, um zum Rise of Legions Wiki zu gelangen";"Click here to read the Rise of Legions Wiki";"Cliquez ici pour lire le Wiki de Rise of Legions";"Clica aqui para ler a Wiki de Rise of Legions";"Нажмите сюда, чтобы прочитать Wiki-страницу игры Rise of Legions";"Click aquí para leer la Wiki de Rise of Legions";"Clicca qui per leggere la Wiki di Rise of Legions";"Klik her for at læse Rise of Legions Wiki";"Klicka här för att läsa Rise of Legions Wiki";"Klik hier om de Rise of Legions Wiki te lezen";"Kliknij tutaj aby wejść na Wiki Rise of Legions";"Klikkaa tästä Rise of Legionsin wikiin";"Cliqua aqui para ler o Wiki do Rise of Legions";"Rise of Legions Yardım sayfasına gitmek için buraya tıkla";"Кликнете тук, за да прочетете Rise of Legions Wiki";"Klikni sem pro Rise of Legions Wiki";"Κλίκαρε εδώ για να διαβάσεις το Βίκι του παιχνιδιού";"Kattintson ide a Rise of Légiók Wiki-hez";"";"Click aici pentru a citi Rise of Legions Wiki";"Haz clic aquí para leer el Wiki de Rise of Legions ";"Клацніть тут, щоб прочитати Wiki Rise of Legions";"";"请点击此处读取 Rise of Legions 的 Wiki";"請點擊此處讀取 Rise of Legions 的 Wiki";"";"Rise of Legions 위키를 읽으려면 여기를 클릭하세요";"";""
"home_patch_notes_title";"Patchnotizen vom";"Patch Notes from";"Notes de mise à jour du";"Notas do Patch de";"Примечания к патчу от";"Notas de parche del";"Note sulla patch del";"Patch noter fra";"Uppdaterings information från";"Patch Notes van";"Informacje z poprawki z dnia";"Viimeisin päivitys:";"Notas de atualizações de";"Yama Notları";"Списъци с Поправки";"Seznam změn od";"Σημειώσεις Ενημέρωσης από";"";"";"Ultimile Actualizări din";"Notas del parche desde";"Патч-примітки від";"";"补丁说明，由";"修補說明，由";"";"패치 노트";"";""
"home_patch_notes_text";"Klicke hier, um die neuesten Patchnotizen zu lesen";"Click here to read the latest patch notes";"Cliquez ici pour lire les dernières notes de mise à jour";"Clica aqui para ler as últimas notas do patch";"Нажмите сюда, чтобы прочитать последние примечания к патчу";"Click aquí para leer las últimas notas de parche.";"Clicca qui per leggere le ultime note sulla patch";"Klik her for at læse de seneste patch noter";"Klicka här för att läsa de senaste uppdateringarna";"Klik hier om de meest recente patch notes te lezen";"Kliknij tutaj, aby przeczytać najnowsze informacje o zmianach";"Klikkaa tästä nähdäksesi pelin viimeisimmät päivitykset";"Clique aqui para ler a ultimas notas das atualizações";"Yama notlarını okumak için buraya tıkla";"Кликнете тук, за да прочетете последните Списъци с Поправки";"Klikni sem pro zobrazení posledních změn";"Κλίκαρε εδώ για να διαβάσεις τις πιο πρόσφατες σημειώσεις ενημέρωσης";"";"";"Faceți clic aici pentru a citi ultimele actualizări";"Haz clic aquí para leer las últimas notas del parche";"Натисніть тут, щоб прочитати останні замітки про виправлення";"";"请点击此处读取最新的补丁说明";"請點擊此處讀取最新的修補說明";"";"최신 패치 노트를 읽으려면 여기를 클릭하세요";"";""
"home_tournament_title";"Community Tournament";"Community Tournament";"Tournoi Communautaire";"Torneio Comunitário";"Турнир Сообщества";"Torneo Comunitario";"Torneo della Community";"Fællesskabsturnering";"Gemenskapsturnering";"";"Turniej Społeczności";"";"Torneio da Comunidade";"Topluluk Turnuvası";"Обществени турнири";"Komunitní turnaje";"Τουρνουά της Κοινότητας";"";"";"Turnee Comunitate";"Torneo Comunitario";"Турнір Спільноти";"";"社区比赛";"社區比賽";"";"커뮤니티 토너먼트";"";""
"home_tournament_text";"Klicke hier, um dich zum kommenden Community Tournament zu informieren";"Click here to read about the upcoming community tournament";"Cliquez ici pour en savoir plus sur le prochain tournoi communautaire";"Clique aqui para ler sobre o próximo Torneio Comunitário";"Нажмите здесь для получения информации о грядущем турнире сообщества";"Haga clic aquí para leer sobre el próximo torneo comunitario.";"Clicca qui per saperne di più sul prossimo torneo della community";"Klik her for at læse om den kommende fællesskabsturnering";"Klicka här för att läsa om den kommande gemenskapsturneringen";"";"Naciśnij tutaj aby przeczytać o nadchodzącym turnieju społeczności";"";"Clique aqui para ler sobre o próximo Torneio da Comunidade";"Yaklaşan topluluk turnuvası hakkında okumak için buraya tıkla";"Кликнете тук, за да прочетете за предстоящи общ турнир";"Klikněte zde pro informace o nadcházejícím komunitním turnaji";"Κλίκαρε εδώ, για να διαβάσεις για το επερχόμενο τουρνουά της κοινότητας";"";"";"Faceți clic aici pentru a citi despre turneul comunității care urmează";"Haz clic aquí para leer sobre el próximo torneo comunitario";"Натисніть тут для отримання інформації про майбутній турнір спільноти";"";"请点击此处读取即将举办社区比赛的讯息";"請點擊此處讀取即將舉辦社區比賽的訊息";"";"다가오는 커뮤니티 토너먼트에 관해 읽으려면 여기를 클릭하세요";"";""
"home_guide_title";"Rise of Legions Guide";"Rise of Legions Guide";"Guide de Rise of Legions";"Guia Rise of Legions";"Руководство Rise of Legions";"Guia Rise of Legion";"Guida a Rise of Legions";"Rise of Legions Guide";"Rise of Legions Guide";"";"Poradnik Rise of Legions";"Rise of Legions -opas";"Guia de Rise of Legions";"Rise Of Legions Rehber";"Rise of Legions ръководство";"Rise of Legions Průvodce";"Οδηγός τού Rise of Legions";"Rise of Legions útmutató";"";"Ghidul joculiu Rise of Legions";"Guía de Rise of Legions";"Керівництво до Rise of Legions";"";"Rise of Legions 指南";"Rise of Legions 指南";"";"Rise of Legions 안내서";"";""
