"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"card_detail_ascend";"Aufsteigen";"Ascend";"Ascension";"Ascender";"Повысить";"Ascenso";"Potenzia";"Ophøj";"Uppstig";"Stijgen";"Wzmocnij";"Ylennä";"Ascender";"Yükselt";"";"Povýšit";"Ανύψωσε";"Felemelés";"";"Ascensiune";"Ascender";"Підвищити";"";"升阶";"昇華";"";"승급";"";""
"card_detail_ascend_locked_hint";"Du benötigst mehr Credits oder musst mehr Karten opfern, um diese Karte aufsteigen zu lassen.";"You need more credits or have to sacrifice more cards to ascend this card.";"Vous avez besoin de plus de crédits ou devez sacrifier plus de cartes pour activer l'ascension de celle-ci.";"Precisas de mais créditos ou tens de sacrificar mais cartas para ascenderes esta carta.";"Вам нужно больше кредитов или придется пожертвовать больше карт, чтобы повысить эту карту.";"Necesitas más créditos o sacrificar cartas para ascender esta unidad.";"Hai bisogno di più crediti o di sacrificare più carte per potenziare questa carta.";"Du behøver enten mere kredit eller ofre nogle kort for at ophøje dette kort.";"Du behöver fler krediter eller måste offra fler kort för att stiga upp detta kort.";"Je hebt meer credits nodig of je moet meer kaarten opofferen om deze kaart te doen stijgen.";"Potrzebujesz więcej kredytów lub poświęcić więcej kart żeby wzmocnić tą kartę.";"Tarvitset enemmän krediittejä tai sinun on uhrattava enemmän kortteja ylentääksesi tämän kortin.";"Você precisa de mais créditos ou sacrificar mais cartas para ascender esta.";"Bu kartı yükseltebilmek için daha fazla kart sunmanız veya daha fazla krediye sahip olmanız gerekmektedir.";"";"Potřebuješ více kreditů, nebo obětuj více karet pro povýšení této karty.";"Χρειάζεται να έχεις περισσότερα μετρητά ή να έχεις θυσιάσει περισσότερες κάρτες για να ανυψώσεις αυτήν την κάρτα.";"Több kreditre van szükséged, vagy több kártyát kell feláldoznod, hogy felemelhesd ezt a kártyát.";"";"Ai nevoie de mai multe credite sau trebuie să sacrifici mai multe cărți pentru a crește această carte.";"Necesitas más créditos o tienes que sacrificar más tarjetas para ascender esta tarjeta.";"Вам потрібно більше кредитів або доведеться жертвувати більше карт, щоб підвищити цю карту.";"";"您需要更多的代币或是牺牲更多的卡片才能让此卡升阶。";"你需要更多的代幣或是犧牲更多的卡片才能讓此卡進階。";"";"이 카드를 승급하기 위해서는 크레딧을 더 사용하거나 다른 카드를 더 제물로 바쳐야 합니다.";"";""
"card_detail_material_in_deck";"Im Deck";"In Deck";"Dans le deck";"No Baralho";"В Колоде";"En Uso";"Nel mazzo";"I Bunken";"I Kortleken";"In Deck";"W Talii";"Pakassa";"No Deck";"Destede";"";"V balíčku";"Στην Τράπουλα";"Pakliban";"";"În Punte";"En Paquete";"В колоді";"";"牌组内有";"套牌內有";"";"사용 중";"";""
"card_detail_level";"Opfern";"Sacrifice";"Sacrifice";"Sacrificar";"Пожертвовать";"Sacrificar";"Sacrifica";"Ofre";"Offra";"Opofferen";"Poświęć";"Uhraa";"Sacrificar";"Sun";"";"Obětovat";"Θυσία";"Feláldozás";"";"Sacrificiu";"Sacrificar";"Жертва";"";"牺牲";"獻祭";"";"제물로 받치기";"";""
"card_detail_no_ascension_material";"Du besitzt aktuell keine weiteren passenden Karten für den Aufstieg.";"You currently have no more cards for the ascension.";"Actuellement vous n'avez pas d'autres cartes pour l'ascension.";"Atualmente não tens mais cartas para a ascensão.";"На данный момент у вас больше нет карт для повышения.";"Actualmente no tienes más cartas para ascender.";"Al momento non hai più carte da potenziare.";"Du har nuværende ikke flere kort til at forhøje med.";"Du har för närvarande inga fler kort för uppstigning.";"Je hebt momenteel geen kaarten meer voor deze stijging.";"Obecnie nie masz więcej kart do wzmocnienia.";"Sinulla ei ole tällä hetkellä enempää ylennettäviä kortteja.";"Você não possui mais cartas para realizar uma ascensão.";"Şu anda yükseliş için başka kartınız yok.";"";"Aktuálně nemáš více karet pro povýšení.";"Προς το παρόν δεν έχεις περισσότερες κάρτες για την ανύψωση.";"Jelenleg nincs több felemelhető kártyád.";"";"În prezent nu mai aveți cărți pentru ascensiune.";"Actualmente no tienes más tarjetas para la ascensión.";"В даний час у вас немає більше карт для підняття.";"";"您目前没有任何的卡牌可以升阶。";"你目前沒有更多的卡片可以昇華。";"";"승급하기 위한 카드를 가지고 있지 않습니다.";"";""
"card_detail_ascension_max_league";"Die Karte befindet sich auf der höchsten Stufe und kann nicht weiter aufsteigen.";"The card has reached the highest tier and can‘t be ascended further. (yet)";"La carte a atteint le palier le plus élevé et ne peut pas (encore) activer une autre ascension.";"A carta atingiu a categoria mais alta e não pode ser mais ascendida. (por agora)";"Карта достигла самого высокого дивизиона и не может быть повышена дальше. (пока)";"Esta carta ha llegado a la categoría más alta y ya no puede ascender.(Aún)";"La carta ha raggiunto il massimo livello e non può più essere potenziata. (per ora)";"Kortet har opnået det højeste niveau og kan ikke forhøjes yderligere. (endnu)";"Kortet har nått den högsta nivån och kan inte höjas ytterligare. (ännu)";"De kaart heeft zijn hoogste tier behaald en kan niet verder meer stijgen. (tot nu toe)";"Karta jest już na najwyższym stopniu, nie może już być wzmocniona. (jeszcze)";"Kortti on saavuttanut korkeimman tason ja sitä ei voida ylentää enempää. (vielä)";"A carta chegou ao nível de elo mais alto e não pode ascender mais. (Pelo menos não ainda)";"Bu kart zaten ulaşabileceği en yüksek seviyeye ulaşmış daha fazla yükseltilemez. (henüz)";"";"Karta dosáhla maximální úrovně a nemá kam povýšit. (zatím)";"Η κάρτα έχει φτάσει στην ανώτατη βαθμίδα και δεν μπορεί να ανεβεί περισσότερο. (ακόμα)";"A kártya elérte a legmagasabb szintet, nem emelhető tovább. (még)";"";"Cardul a atins cel mai înalt nivel și nu poate fi urcat mai departe. (înca)";"La tarjeta ha alcanzado el nivel más alto y no se puede ascender más. (aún)";"Карта досягла найвищого рівня і не може бути піднята. (поки)";"";"此卡已经达到最高阶级，目前无法再进行升阶。";"此卡已經達到最高階段，目前無法再進行昇華。";"";"카드가 최고 티어에 도달하여 더 승급할 수 없습니다. (아직은)";"";""
"card_detail_ascension_not_ready";"Die Karte muss auf Level 5 sein, um aufsteigen zu können.";"The card has to be level 5 in order to be ascended.";"La carte doit être de niveau 5 pour pouvoir activer l'ascension.";"A carta tem que ser de nível 5 para poder ser ascendida.";"Карта должна быть 5-го уровня для повышения.";"Esta carta tiene que ser nivel 5 para ser ascendida.";"Questa carta deve essere di livello 5 per essere potenziata.";"Kortet behøver at være level 5 for at kunne forhøjes.";"Kortet måste vara nivå 5 för att kunna höjas.";"De kaart moet level 5 zijn om te kunnen stijgen.";"Ta karta musi mieć 5 poziom aby ją wzmocnić.";"Kortin täytyy olla 5-tasolla, jotta sen voi ylentää.";"A carta precisa estar no nível 5 para ascender.";"Bu kartı yükseltebilmek için 5. seviyede olması gerekmektedir.";"";"Karta musí dosáhnout úrovně 5 aby mohla povýšit.";"Η κάρτα πρέπει να είναι στο επίπεδο 5 για να ανυψωθεί.";"A kártyának el kell érnie az 5. szintet, hogy felemelhető legyen.";"";"Cardul trebuie să fie nivelul 5 pentru a fi ascendent.";"La tarjeta tiene que ser de nivel 5 para ser ascendida.";"Карта повинна бути 5-го рівня для того, щоб бути піднесеною.";"";"卡牌必须达到 5 级才能进行升华。";"卡片必須達到 5 級才能進行昇華。";"";"이 카드는 승급하려면 5 레벨에 도달해야 합니다.";"";""
"card_detail_ascension_empty_sacrifice_list";"Opfere Karten, um die Kosten des Aufstiegs zu verringern.";"Sacrifice cards to reduce the cost of the ascension.";"Sacrifiez des cartes pour réduire le coup de l'ascension.";"Sacrifica cartas para reduzires o custo da ascensão.";"Пожертвуйте картами, чтобы снизить стоимость повышения.";"Sacrifica cartas para reducir el coste de la ascención.";"Sacrifica carte per ridurre il costo del potenziamento.";"Ofre kort for at reducere omkostningen af forhøjningen.";"Offer kort för att minska kostnaden för uppstigningen.";"Offer kaarten op om de stijgingskost te verlagen.";"Poświęć karty aby zmniejszyć koszty wzmocnienia.";"Uhraa kortteja vähentääksesi ylennyksen hintaa.";"Sacrifique cartas para reduzir o custo da ascensão.";"Yükseltme maliyetini azaltmak için kart sunun.";"";"Obětuj karty pro redukci ceny povýšení.";"Θυσίασε κάρτες για να μειώσεις το κόστος της ανύψωσης.";"Áldozz fel kártyákat, hogy csökkentsd a felemelés árát!";"";"Sacrificați carduri pentru a reduce costul ascensiunii.";"Sacrificar las tarjetas para reducir el costo de la ascensión.";"Жертвуйте карти, щоб зменшити вартість підняття.";"";"多牺牲几张卡牌可以降低升阶的成本。";"多犧牲幾張卡片可以降低昇華的成本。";"";"다른 카드를 제물로 바쳐 승급 비용을 줄일 수 있습니다.";"";""
"card_detail_ascension_empty_sacrifice_list_ready";"Die Karte kann allein mit Credits aufsteigen. §card_detail_ascension_empty_sacrifice_list";"Use Credits to ascend this card. §card_detail_ascension_empty_sacrifice_list";"Utilisez des crédits pour activer l'ascension de cette carte. §card_detail_ascension_empty_sacrifice_list";"Usa créditos para ascenderes esta carta. §card_detail_ascension_empty_sacrifice_list";"Используйте кредиты, чтобы повысить эту карту. §card_detail_ascension_empty_sacrifice_list";"Usa créditos para ascender esta carta.";"Usa i Crediti per potenziare questa carta. §card_detail_ascension_empty_sacrifice_list";"Brug kredit for at forhøje dette kort. §card_detail_ascension_empty_sacrifice_list";"Använd Krediter för att höja detta kort. §card_detail_ascension_empty_sacrifice_list";"Gebruik credits om deze kaart te doen stijgen. §card_detail_ascension_empty_sacrifice_list";"Użyj Kredytów aby wzmocnić kartę. §card_detail_ascension_empty_sacrifice_list";"Käytä krediittejä kortin ylennykseen. §card_detail_ascension_empty_sacrifice_list";"Usar créditos para ascender esta carta. §card_detail_ascension_empty_sacrifice_list";"Bu kartı yükseltmek için kredi kullanın. §card_detail_ascension_empty_sacrifice_list";"";"Použij Kredity pro povýšení této karty. §card_detail_ascension_empty_sacrifice_list";"Ξόδεψε Μετρητά για να ανυψώσεις αυτήν την κάρτα. §card_detail_ascension_empty_sacrifice_list";"Használj kreditet, hogy felemeld ezt a kártyát. §card_detail_ascension_empty_sacrifice_list";"";"Utilizați Credite pentru a urca acest card. §card_detail_ascension_empty_sacrifice_list";"Usa Créditos para ascender esta tarjeta. §card_detail_ascension_empty_sacrifice_list";"Використовуйте кредити, щоб підвищити цю карту. §card_detail_ascension_empty_sacrifice_list";"";"使用代币让此卡升阶。 §card_detail_ascension_empty_sacrifice_list";"使用代幣來昇華此卡。 §card_detail_ascension_empty_sacrifice_list";"";"크레딧 사용하여 카드를 승급합니다. §card_detail_ascension_empty_sacrifice_list";"";""
"card_detail_no_push_material";"Du besitzt aktuell keine weiteren passenden Karten für einen Erfahrungsschub.";"You currently have no further cards to sacrifice.";"Actuellement vous n'avez plus d'autres cartes à sacrifier.";"Atualmente não tens mais cartas para sacrificar.";"На данный момент у вас больше нет карт, чтобы пожертвовать.";"Actualmente no hay más cartas para sacrificar.";"Al momento non possiedi altre carte da sacrificare.";"Du har nuværende ikke flere kort til at ofre.";"Du har för närvarande inga fler kort för uppstigning.";"Je hebt momenteel geen kaarten meer om op te offeren.";"Obecnie nie masz więcej kart do poświęcenia.";"Sinulla ei ole tällä hetkellä enempää uhrattavia kortteja.";"Atualmente você não possui mais cartas para sacrificar.";"Sunabileceğiniz daha fazla kartınız yok.";"";"Aktuálně nemáš více karet k obětování.";"Προς το παρόν δεν έχεις περαιτέρω κάρτες να θυσιάσεις.";"Nincs több feláldozható kártyád.";"";"În prezent nu mai aveți cărți de sacrificat.";"Actualmente no tienes más tarjetas que sacrificar.";"На даний момент у вас немає карт для жертви.";"";"您目前没有其余的卡牌可供献祭。";"你目前沒有其餘的卡片可供獻祭。";"";"현재 제물로 바칠 카드가 없습니다.";"";""
