"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"error_eoutofmemory";"Es konnte nicht genug Arbeitsspeicher bereitgestellt werden.\n\nBitte beachte die Mindestvoraussetzungen für das Spiel. \nSchließe andere Programme während du Rise of Legions spielst, um mehr Arbeitsspeicher zur Verfügung zu haben. \nReduziere die Texturauflösung in den Optionen, um mehr Grafikspeicher zur Verfügung zu haben.\nWenn das Problem weiterhin besteht, kontaktiere uns und wir helfen dir gerne weiter.";"There was not enough working memory.\n\nPlease note the minimal requirements for the game.\nClose other application while playing Rise of Legions to maximize the available working memory.\nReduce the texture resolution in the settings to reduce the used video memory.\nIf the problem persists, don‘t hesitate to contact us for help.";"Il n'y avais pas assez de mémoire\n\nVeuillez faire attention à la configuration minimale requise pour le jeu.\nFermez les autres applications en cours pendant que vous jouez à Rise of Legions pour avoir le maximum de mémoire disponible.\nRéduisez la résolution des textures dans les paramètres afin de réduire la mémoire vidéo utilisée.\nSi le problème persiste, n'hésitez pas à nous contacter pour de l'aide.";"Não há memória suficiente disponível. \n\n Por favor, verifica os requisitos mínimos para o jogo. \nFecha outros programas enquanto jogas Rise of Legions para melhorar a memória disponível. \nReduza resolução das textura nas configurações para reduzir o uso de memória de vídeo. \n Se o problema persistir, não hesites em nos contatar.";"Не хватало оперативной памяти.\n\n Пожалуйста, обратите внимание на минимальные требования к игре.\nЗакройте другое приложение во время игры Rise of Legions, чтобы максимизировать доступную оперативную память.\nПонизьте разрешение текстур в настройках для уменьшения используемой видеопамяти.\n Если проблема не будет устранена, просим связаться с нами, чтобы получить помощь.";"No hay suficiente memoria.\n\n Por favor, ten en cuenta los requisitos mínimos para el juego.\nCierra otras aplicaciones para obtener más memoria para Rise of Legions.\nReduce los gráficos en opciones para reducir la carga de memoria en tu gráfica.\n Si el problema persiste, contacta con nosotros.";"Non c'è abbastanza memoria di lavoro.\n\n Per favore controlla i requisiti minimi per il gioco.\n Chiudi le altre applicazioni mentre giochi a Rise of Legions per massimizzare la quantità di memoria di lavoro disponibile.\n Riduci la risoluzione delle texture nelle opzioni per ridurre la quantità di memoria video utilizzata.\n Se il problema persiste, non esitare a contattarci per chiedere aiuto.";"";"";"Er is niet genoeg grafisch werkgeheugen.\n\n Controleer alstublieft de minimale vereisten voor dit spel.\n Sluit alle extra programma's in de achtergrond af om meer grafisch werkgeheugen vrij te maken.\n Zet de structuur resolutie lager in de instellingen om minder grafisch geheugen te gebruiken.\n Als dit probleem terugkeert neem dan contact met ons op.";"Zbyt mało pamięci roboczej.\n\nProszę zobaczyć minimalne wymagania gry.\nZamknij inne aplikacje podczas gry w Rise of Legions aby zmaksymalizować ilość pamięci roboczej.\nZmniejsz rozmiary tekstur w ustawieniach aby zmniejszyć użycie pamięci graficznej.\nJeżeli problem nadal występuje, skontaktuj się z nami o pomoc.";"Vapaata muistia ei ollut tarpeeksi.\n\nHuomioithan pelin vähimmäisvaatimukset.\nSulje muut sovellukset pelatessasi Rise of Legionsia maksimoidaksesi vapaan muistin määrän.\nPienennä pintojen tarkkuutta asetuksista vähentääksesi muistin käyttöä.\nMikäli ongelma jatkuu, älä epäröi ottaa meihin yhteyttä.";"Não há memória suficiente disponível. \n\n Por favor, veja os requisitos mínimos para o jogo. \nFeche outros programas enquanto joga Rise of Legions para maximizar a memória disponível. \nReduza a resolução das textura nas configurações para reduzir o uso de memória de vídeo. \n Se o problema persistir, não deixe de nos contactar.";"Oyunu oynayabilmeniz için yeterince bellek yok.\n\nİyi bir tecrübe edinebilmeniz için bilgisayarınızın en düşük gereksinimleri karşılayabildiğinden emin olunuz.\nRise of Legions oynarken diğer programları kapatmanız oyuna ayırabileceğiniz bellek miktarını arttıracaktır.\nAyrıca grafik ayarlarını düşürürmenizin de yararı olacaktır.\nEğer buna rağmen sorun devam ederse, bizimle iletişime geçmekten çekinmeyin.";"";"Není dostatek volné paměti.\n\nProsím ověř splnění minimálních požadavků hry.\nZavři ostatní aplikace při hraní Rise of Legions pro maximalizování dostupné pracovní paměti.\nSniž rozlišení textur v nastavení pro snížení využité video paměti.\nPokud problém přetrvá, neváhej nás kontaktovat.";"Δεν υπήρχε αρκετή λειτουργήσιμη μνήμη.\n\nΠαρακαλούμε να προσέξεις τις ελάχιστες απαιτήσεις του παιχνιδιού.\nΚλείσε άλλες εφαρμογές, όταν πρόκειται να παίξεις το Rise of Legions, για να μεγιστοποιήσεις τη διαθέσιμη λειτουργήσιμη μνήμη.\nΜείωσε την ανάλυση των υφών στις ρυθμίσεις, για να μειωθεί η χρησιμοποιούμενη μνήμη βίντεο.\nΑν το πρόβλημα επιμείνει, μη διστάσεις να επικοινωνήσεις μαζί μας για βοήθεια.";"";"";"Nu a fost suficientă memorie de lucru.\n\nVă rugăm să rețineți cerințele minime pentru joc.\nÎnchideți altă aplicație în timp ce jucați Rise of Legions pentru a maximiza memoria de lucru disponibilă.\nReduceți rezoluția de textură în setări pentru a reduce memoria video folosită.\nlf dacă problema persistă, nu ezitați să ne contactați pentru ajutor.";"No había suficiente memoria de trabajo.\n\nTenga en cuenta los requisitos mínimos para el juego.\nCierre otra aplicación mientras juega Rise of Legions para maximizar la memoria de trabajo disponible.\nReduce la resolución de textura en la configuración para reducir la memoria de video utilizada.\nSi el problema persiste, no dude en contactarnos para obtener ayuda.";"Не вистачало оперативної пам'яті.\n\n Будь ласка, зверніть увагу на мінімальні вимоги до гри.\nЗакрийте інший додаток під час гри Rise of Legions, щоб максимізувати доступну оперативну пам'ять.\nПонизьте роздільна здатність текстур в налаштуваннях для зменшення використовуваної відеопам'яті.\n Якщо проблему не буде вирішено, просимо зв'язатися з нами, щоб отримати допомогу.";"";"可使用的记忆体不足。\n\n请注意此游戏的最低硬体需求。\n在游玩 Rise of Legions 之前，请先关闭其他应用程序。如此能预留最大的记忆体。\n请试着由设定页面调低贴图解析度，以避免使用过多显示记忆体。\n若尝试过后仍无法解决此问题，欢迎尽快和我们联系。";"可使用的記憶體不足。\n\n請注意此遊戲的最低硬體需求。\n在遊玩 Rise of Legions 之前，請先關閉其他應用程序。如此能預留最大的紀體體。\n請試著由設定頁面調低貼圖解析度，以避免使用過多顯示記憶體。\n若嘗試過後仍無法解決此問題，歡迎盡快和我們聯繫。";"";"작업 메모리가 부족합니다.\n\n게임의 최소 사항을 다시 확인해주세요.\nRise of Legions를 플레이하는 도중 다른 프로그램을 닫아서 사용 가능한 메모리를 최대한 활용할 수 있습니다.\n또한, 설정에서 텍스쳐 품질을 낮추면 사용되는 메모리가 줄어듭니다.\n문제가 계속되면 주저하지 말고 저희에게 도움을 요청해주세요.";"";""
"error_caption";"Fehler";"Error";"Erreur";"Erro";"Ошибка";"Error";"Errore";"Fejl";"Error";"Fout";"Błąd";"Virhe";"Erro";"Hata";"Грешка";"Chyba";"Σφάλμα";"Hiba";"";"Eroare";"Error";"Помилка";"خطأ";"錯誤";"錯誤";"";"오류";"";""
"errorcode_000";"Undefinierter Fehler.";"Undefined error.";"Erreur indéfinie.";"Erro indefinido.";"Неопределенная ошибка.";"Error indefinido.";"Errore indefinito.";"";"";"Onbepaalde error.";"Nieokreślony błąd.";"Määrittämätön virhe.";"Erro indefinido.";"Tanımlanmamış hata.";"Неизвестна грешка.";"Nedefinovaná chyba.";"Απροσδιόριστο σφάλμα.";"Meghatározatlan hiba.";"";"Eroare nedefinita.";"Error indefinido";"Невизначена помилка.";"خطأ غير معروف.";"未定义的错误。";"未定義的錯誤。";"";"알 수 없는 오류.";"";""
"errorcode_001";"Der Server antwortet nicht.";"Server does not respond.";"Le serveur ne répond pas.";"O servidor não responde.";"Сервер не отвечает.";"El servidor no responde.";"Il Server non risponde.";"";"";"Server reageert niet.";"Serwer nie odpowiada.";"Palvelin ei vastaa.";"O servidor não está respondendo.";"Sunucu cevap vermiyor.";"Сървърът не отговаря.";"Server neodpovídá.";"Ο διακομιστής δεν αποκρίνεται.";"A szerver nem válaszol.";"";"Serverul nu răspunde.";"El servidor no responde.";"Сервер не відповідає.";"";"服务器无响应";"伺服器沒有回應。";"";"서버가 응답하지 않습니다.";"";""
"errorcode_002";"Zeitüberschreitung einer Anfrage an den Server.";"A request has timed out.";"Le délai de requête a expirée.";"Uma solicitação perdeu o tempo.";"Истекло время ожидания запроса.";"Una solicitud ha caducado.";"La richiesta è scaduta.";"";"";"Een verzoek heeft een time-out.";"Upłynął limit czasu żądania.";"Pyyntö aikakatkaistu.";"O tempo de solicitação se esgotou.";"İstek zaman aşımına uğradı.";"";"Požadavek vypršel po časovém limitu.";"Ένα αίτημα έχει λήξει.";"A kérelem lejárt.";"";"Solicitarea a expirat.";"Se agotó el tiempo de espera de una solicitud.";"Вичерпано час очікування запиту.";"";"请求超时。";"一個請求已超時。";"";"요청 시간이 만료되었습니다.";"";""
"errorcode_003";"Eine Anfrage an den Server wurde blockiert. Füge bitte Rise Of Legions der Ausnahmeliste deiner Firewall hinzu. Sollte das Problem weiter bestehen, kontaktiere uns.";"A server request has been blocked. Please add an exception rule to your firewall for Rise of Legions. If the problem persists, please contact us.";"Une requête de serveur a été bloquée. Veuillez ajouter une règle d'exception à votre pare-feu pour Rise of Legions. Si le problème persiste, veuillez nous contacter.";"Uma solicitação do servidor foi bloqueada. Por favor, adiciona Rise of Legions como uma exceção na firewall. Se o problema persistir, entra em contato.";"Запрос сервера заблокирован. Пожалуйста, добавьте правило исключения в межсетевой защитный экран для Rise of Legions. Если проблема не устранена, пожалуйста, свяжитесь с нами.";"Se ha bloqueado una solicitud de servidor. Agregue una regla de excepción a su firewall para Rise of Legions. Si el problema persiste, por favor contáctenos.";"Una richiesta server è stata bloccata. Per favore aggiungi una eccezione al tuo firewall per Rise of Legions. Se il problema persiste, per favore contattaci.";"";"";"Een server aanvraag is geblokkeerd. Maak alstublieft een uitzondering in je firewall instelling voor Ris of Legions. als dit probleem niet is opgelost neem dan contact met ons op.";"Żądanie dostępu do serwera zostało zablokowane. Proszę dodać wyjątek do zapory ogniowej dla aplikacji Rise of Legions. Jeżeli problem nadal występuje, skontaktuj się z nami.";"Palvelinpyyntö on estetty. Varmista sallineesi Rise of Legions palomuurisi asetuksista. Mikäli ongelma jatkuu, ota meihin yhteyttä.";"Uma solicitação do servidor foi bloqueada. Por favor, adicione Rise of Legions como uma exceção em seu firewall. Se o problema persistir, entre em contato.";"Sunucu isteği engelleniyor. Lütfen güvenlik duvarı ayarlarınızda Rise of Legions'a izin veriniz. Eğer hata hala devam ederse, bizimle iletişime geçiniz.";"";"Požadavek serveru byl zablokován. Buďte té lásky a přidejte Rise of Legions do výjimek firewallu. Pokud problém přetrvá, dej nám vědět.";"Ένας διακομιστής έχει παρεμποδιστεί. Παρακαλούμε πρόσθεσε έναν κανόνα εξαίρεσης στο πρόγραμμα προστασίας σου για το Rise of Legions. Αν το πρόβλημα επιμείνει, παρακαλούμε επικοινώνησε μαζί μας.";"";"";"O cerere de server a fost blocată. Vă rugăm să adăugați o regulă de excepție pe firewallul dvs. pentru Rise of Legions. Dacă problema persistă, vă rugăm să ne contactați.";"Se ha bloqueado una solicitud del servidor. Agregue una regla de excepción a su firewall para Rise of Legions. Si el problema persiste, contáctenos.";"Запит сервера заблокований. Будь ласка, додайте правило виключення в міжмережевий захисний екран для Rise of Legions. Якщо питання залишається невирішеним, будь ласка, зв'яжіться з нами.";"";"一个伺服器请求已被阻挡。请于所使用的防火墙中加上针对 Rise of Legions 的例外处理。若尝试过后仍无法解决此问题，欢迎尽快和我们联系。";"一個伺服器請求已被阻擋。請於所使用的防火牆中加上針對 Rise of Legions 的例外處理。若嘗試過後仍無法解決此問題，歡迎盡快和我們聯繫。";"";"서버 요청이 차단되었습니다. 방화벽에서 Rise of Legions를 예외 규칙으로 추가해보세요. 이 방법으로 문제가 해결되지 않는다면, 저희에게 문의해주세요.";"";""
"errorcode_004";"Die Rise of Legions Server sind aktuell abgeschaltet. Bitte lies die Ankündigungen für mehr Informationen und komm später wieder!";"The Rise of Legions server are currently down. Please read the announcements for more information and come back later!";"Le serveur de Rise of Legions est actuellement en panne. Veuillez lire les annonces pour plus d'informations et revenir plus tard!";"O servidor de Rise of Legions está fechado. Por favor, lê os anúncios para mais informações e volta mais tarde!";"Сервер Rise of Legions в настоящее время не работает. Пожалуйста, прочитайте объявления для получения дополнительной информации и возвращайтесь позже!";"El servidor de Rise of Legions esta cerrado ahora. Por favor, lee los anuncios para más información y prueba mas tarde.";"I server di Rise of Legions sono al momento down. Per favore leggi gli annunci per maggiori informazioni e torna più tardi!";"";"";"De Rise of Legion server is op dit moment offline. Lees alstublieft de aankondigingen voor informatie en kom later terug!";"Serwer Rise of Legions jest obecnie niedostępny. Przeczytaj ogłoszenia, aby uzyskać więcej informacji i wróć później!";"Rise of Legionsin palvelimet ovat alhaalla. Lisätietoa löydät tiedotuksistamme, tule takaisin myöhemmin!";"O servidor de Rise of Legions está offline Por favor, leia os anúncios para mais informações e volte mais tarde!";"Rise of Legions sunucularına ulaşılamıyor. Lütfen daha fazla bilgi için duyuruları okuyunuz ve sonra tekrar deneyiniz!";"";"Server Rise of Legions je aktuálně vypnut, Prosím přečti oznámení pro více informací, budeme se na tebe těšit!";"Οι διακομιστές τού Rise of Legions προσωρινά δε λειτουργούν. Παρακαλούμε διάβασε τις ανακοινώσεις για περισσότερες πληροφορίες και έλα ξανά αργότερα!";"";"";"În prezent, serverul Rise of Legions este inchis. Vă rugăm să citiți anunțurile pentru mai multe informații și reveniți mai târziu!";"El servidor de Rise of Legions está actualmente inactivo. ¡Lea los anuncios para obtener más información y vuelva más tarde!";"Сервер Rise of Legions в даний час не працює. Будь ласка, прочитайте оголошення для отримання додаткової інформації та повертайтеся пізніше!";"";"Rise of Legions 的伺服器目前暂无回应。请参考最新消息是否有相关通知，并请稍后再回来游玩！";"Rise of Legions 的伺服器目前暫無回應。請參考最新消息是否有相關通知，並請稍後再回來遊玩！";"";"Rise of Legions 서버가 작동 중지되었습니다. 공지사항에서 자세한 내용을 확인하고 다시 와주세요.";"";""
"errorcode_010";"Du bist nicht authentifiziert. Bitte starte das Spiel neu.";"User is not authenticated.";"L'utilisateur n'est pas authentifié.";"Usuário não autenticado.";"Пользователь не прошел проверку подлинности.";"El usuario no está conectado.";"L'utente non è autenticato.";"";"";"De gebruiker is niet geverifieerd.";"Użytkownik nie jest uwierzytelniony.";"Käyttäjä ei ole tunnistautunut.";"Usuário não autenticado.";"Kullanıcı doğrulanmamış.";"";"Uživatel není přihlášen.";"Ο χρήστης δεν πιστωποιήθηκε.";"A felhasználó nincs hitelesítve.";"";"Utilizatorul nu este autentificat.";"Usuario no está autenticado.";"Користувач не пройшов перевірку автентичності.";"";"用户未被认证。";"使用者未被正確認證。";"";"인증되지 않은 사용자입니다.";"";""
"errorcode_011";"Ein fehlerhafter Parameter wurde an den Server gesendet.";"A parameter has bad format.";"Un paramètre a un mauvais format.";"Um parâmetro tem formato errado.";"Параметр имеет неверный формат.";"Un parámetro tiene un formato incorrecto.";"Un parametro ha un formato sbagliato.";"";"";"Een parameter heeft een verkeerd formaat.";"Zły format parametru.";"Virheellinen muoto parametrilla.";"Um parâmetro tem formato incorreto.";"Bir parametre yanlış formatta.";"";"Parametr je ve špatném formátu.";"Μια παράμετρος έχει κακή μορφή.";"";"";"Un parametru are un format nepotrivit.";"Un parámetro tiene un formato incorrecto.";"Параметр має невірний формат.";"";"某一个参数的格式有误。";"某一個參數的格式有誤。";"";"매개 변수의 형식이 잘못되었습니다.";"";""
"errorcode_013";"Das SteamOverlay ist deaktiviert. Bitte aktiviere es und starte danach Rise of Legions neu, um Käufe tätigen und den Chat nutzen zu können.";"The steam overlay is disabled. Please activate it and restart Rise of Legions, to enable purchases and the chat.";"L'overlay Steam est désactivé. Veuillez l'activer et redémarrer Rise of Legions pour permettre les achats et le chat.";"A sobreposição da Steam está fechada. Por favor, ativa-a e reinicia o Rise of Legions para ativar compras e o chat.";"Оверлей Steam отключен. Пожалуйста, активируйте его и перезапустите Rise of Legions, чтобы включить покупки и чат.";"El overlay de steam está desactivado. Por favor,  activa y reinicia Rise of Legions para habilitar las compras y el chat.";"L'overlay di Steam è disabilitato. Per favore attivalo e riavvia Rise of Legions, per poter effettuare acquisti e chattare.";"";"";"De steam overlay is uitgezet. Activeer deze alstublieft en herstart Rise of Legions om gekochte producten te gebruiken en om de chat te kunnen gebruiken.";"Nakładka Steam jest wyłączona. Proszę ją włączyć i zrestartować Rise of Legions, aby aktywować zakupy i czat.";"Steamin pelinaikainen yhteisö on pois päältä. Laita se päälle ja käynnistä Rise of Legions uudelleen mahdollistaaksesi ostokset ja keskustelun.";"A Steam está fechado. Por favor, ative-o e reinicie Rise of Legions para realizar compras e participar do chat.";"Steam ek sayfası devre dışı. Satın almayı ve sohbeti etkinleştirmek için lütfen etkinleştirin ve Rise of Legions'ı yeniden başlatın.";"";"Steam overlay je vypnut. Prosím aktivujte jej a restartujte Rise of Legions, pro umožnění nákupů a chatu.";"Επικάλυψη Steam είναι απενεργοποιημένη. Παρακαλούμε να την ενεργοποιήσετε και να επανεκκινήσετε το Rise of Legions, για να ενεργοποιήσετε τις αγορές και τη συνομιλία.";"";"";"Suprapunerea cu steam este dezactivată. Vă rugăm să îl activați și să reporniți Rise of Legions, pentru a activa achizițiile și chatul.";"Steam está deshabilitado. Por favor, activarlo y reiniciar el Aumento de las Legiones, para habilitar las compras y el chat.";"Оверлей Steam відключений. Будь ласка, увімкніть її та запустіть Rise of Legions, щоб увімкнути покупки і чат.";"";"Steam 透明视窗已被停用。请启用该功能并重新启动 Rise of Legions，才能启用购买以及线上聊天。";"Steam 透明視窗已被停用。請啟用該功能並重新啟動 Rise of Legions，才能啟用購買以及線上聊天。";"";"스팀 오버레이가 비활성화되었습니다. 수정 상점과 채팅을 하기 위해서는, 오버레이를 활성화하고 Rise of Legions를 다시 시작해주세요.";"";""
