"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"chat_request_add";"Senden";"Add";"Ajouter";"Adicionar";"Добавить";"Añadir";"Aggiungi";"Tilføj";"Lägg till";"Toevoegen";"Dodaj";"Lisää";"Adicionar";"Ekle";"Добави";"Přidat";"Πρόσθεσε";"Hozzáadás";"";"Adaugă";"Añadir";"Додати";"اضف";"添加";"新增";"";"추가";"เพิ่มเพื่อน";""
"chat_request_incoming";"Möchte dich hinzufügen";"wants to add you";"veut vous ajouter";"quer-te adicionar";"хочет добавить вас";"quiere añadirte";"vuole aggiungerti";"vil gerne tilføje dig";"vill lägga till dig";"wilt jou toevoegen";"chce Ciebie dodać";"haluaa lisätä sinut";"quer adicionar você";"seninle arkadaş olmak istiyor";"иска да ви добави";"si tě chce přidat";"θέλει να σε προσθέσει";"szeretne hozzáadni";"";"vrea să vă adauge";"Quiere añadirte";"бажає додати вас";"يود اضافتك";"想要加您为好友";"想要加你為好友";"";"가 당신을 추가하기 원합니다";"เขาต้องการจะเพิ่มคุณ";""
"chat_request_waiting";"Warte auf Annahme";"Waiting for answer";"En attente d'une réponse";"A espera da resposta";"Ожидание ответа";"Esperando respuesta";"In attesa di risposta";"Venter på svar";"Väntar på svar";"Wachten op een reactie";"Oczekiwanie na odpowiedź";"Odottaa vastausta";"Esperando resposta";"Cevap bekleniyor";"";"Čeká na odpověď";"Εν αναμονή για απάντηση";"Válaszra várva";"";"Se așteaptă un răspuns";"Esperando respuesta";"Очікування відповіді";"قيد الانتظار";"等待应答";"等待答覆";"";"응답을 기다리는 중";"กำลังรอคำตอบ";""
"chat_status_csaway";"Abwesend";"Away";"Absent";"Ausente";"Нет на месте";"Ausente";"Assente";"Væk";"Borta";"Afgwezig";"Zaraz wracam";"Toimeton";"Ausente";"Uzakta";"";"Pryč";"Απών";"Távol";"";"Absent";"Descansando";"Немає на місці";"بعيد";"离开";"暫時不在電腦前";"";"자리 비움";"ไม่อยู่";""
"chat_status_csbusy";"Beschäftigt";"Busy";"Occupé";"Ocupado";"Занят";"Ocupado";"Occupato";"Optaget";"Upptagen";"Bezig";"Zajęty";"Varattu";"Ocupado";"Meşgul";"Зает";"Zaneprázdněn";"Απασχολημένος";"Elfoglalt";"";"Ocupat";"Ocupado";"Зайнятий";"مشغول";"忙碌";"忙碌中";"";"다른 용무 중";"ไม่​ว่าง";""
"chat_status_csingame";"Im Spiel";"In game";"En jeu";"A jogar";"В игре";"En el juego";"In partita";"";"I spel";"";"W grze";"Pelissä";"Em jogo";"Oyunda";"В игра";"Ve hře";"Σε παιχνίδι";"Játékon belül";"";"În joc";"Jugando";"У грі";"يلعب";"游戏中";"遊戲中";"";"게임 중";"กำลังอยู่ในเกม";""
"chat_status_csoffline";"Offline";"Offline";"Hors ligne";"Offline";"Не в сети";"Desconectado";"Non connesso";"Offline";"Frånkopplad";"Offline";"Offline";"Poissa";"Offline";"Çevrimdışı";"Извън линия";"Offline";"Ανενεργός";"Offline";"";"Deconectat";"Desconecctado";"Офлайн";"غير متصل";"离线";"離線";"";"오프라인";"ออฟไลน์";""
"chat_status_csonline";"Online";"Online";"En ligne";"Online";"В сети";"Conectado";"Connesso";"Online";"Ansluten";"Online";"Online";"Paikalla";"Online";"Çevrimiçi";"На линия";"Aktivní";"Ενεργός";"Elérhető";"";"Conectat";"Conectado";"Онлайн";"متصل";"在线";"在線";"";"접속 중";"ออนไลน์";""
"friendlist_add_new_friend_direct";"Freundschaftsanfrage senden";"Send friend request";"Envoyer une demande d'ami";"Enviar pedido de amizade";"Отправить запрос на добавления в друзья";"Enviar solicitud de amistad";"Invia richiesta d'amicizia";"Send venneanmodning";"Skicka vänförfrågan";"Verstuur een vriendschapsverzoek";"Zaproś do znajomych";"Lähetä kaveripyyntö";"Enviar solicitação de amizade";"Arkadaşlık isteği gönder";"Изпращане на покана за приятелство";"Odeslána žádost o přátelství";"Στείλε αίτημα φιλίας";"Barátkérelem küldése";"";"Cerere de prietenie";"Enviar solicitud de amistad";"Надіслати запит про дружбу";"ارسل طلب صبادقة";"发送好友请求";"傳送好友請求";"";"친구 요청 보내기";"ส่งคำขอเป็นเพื่อน";""
"friendlist_add_new_friend_direct_confirmation_caption";"Freund hinzugefügt";"Friend added";"Amis ajouté";"Amigo adicionado";"Друг добавлен";"Amigo añadido";"Amico aggiunto";"Ven tilføjet";"Vän tillagd";"Vriend toegevoegd";"Dodano przyjaciela";"Kaveri lisätty";"Amigo adicionado";"Arkadaş eklendi";"";"Přítel přidán";"Προστέθηκε φίλος";"Barát hozzáadva";"";"Prieten adăugat";"Añadido a Amigos";"Друга додано";"تمت اضافة الصديق";"好友已添加";"好友已增加";"";"친구가 추가되었습니다.";"เพิ่มเพื่อนแล้ว";""
