"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"core_announcement_title_stage_1";"Phase 1";"Stage 1";"Phase 1";"Nível 1";"Стадия 1";"Etapa 1";"Fase 1";"Trin 1";"";"Fase 1";"Etap 1";"Vaihe 1";"Fase 1";"1. Evre";"Сцена 1";"Fáze 1";"Στάδιο 1";"1-es stádium";"";"Etapa 1";"Etapa 1";"Етап 1";"مرحلة 1";"阶段 1";"階段 1";"";"스테이지 1";"ด่านที่ 1";""
"core_announcement_subtitle_stage_1";"Die Schlacht beginnt!";"Into the fray!";"Dans la mêlée!";"Lutar!";"В бой!";"A la batalla!";"Nella mischia!";"I Kamp!";"";"Op naar het slachtveld!";"Do walki!";"Hyökkäykseen!";"No calor da batalha!";"Savaş başlıyor!";"В битката!";"Do boje!";"Βουρ στη μάχη!";"Harcra fel!";"";"In incaierare!";"¡A la Lucha!";"До бою!";"لنزاع البحارّ!";"走吧，战场在前！";"走吧，戰場在前！";"";"싸움 속으로!";"สู่สนามรบ!";""
"core_announcement_title_stage_2";"Phase 2";"Stage 2";"Phase 2";"Nível 2";"Стадия 2";"Etapa 2";"Fase 2";"Trin 2";"";"Fase 2";"Etap 2";"Vaihe 2";"Fase 2";"2. Evre";" Сцена 2";"Fáze 2";"Στάδιο 2";"2-es stádium";"";"Etapa 2";"Etapa 2";"Етап 2";"المرحلة 2";"阶段 2";"階段 2";"";"스테이지 2";"ด่านที่ 2";""
"core_announcement_subtitle_stage_2";"Türme werden stärker!";"Towers gain strength!";"Les tours gagnent en force!";"As torres ganharam força!";"Башни укрепляются!";"Las torres se fortalecen!";"Le torri guadagnano forza!";"Tårnene bliver stærkere!";"";"Torens worden sterker!";"Wieże zyskują siłę!";"Torneista tuli vahvempia!";"Torres estão mais fortes!";"Kuleler güç kazandı!";"";"Věže zesílili!";"Οι πύργοι κερδίζουν δύναμη!";"A tornyok erősödnek!";"";"Turnurile câștigă forță!";"¡Las torres ganan fuerza!";"Вежі набирають сили!";"اكتسبت الأبراج القوة!";"塔得到了加强！";"塔得到了加強！";"";"탑이 강화됩니다!";"";""
"core_announcement_title_stage_3";"Phase 3";"Stage 3";"Phase 3";"Nível 3";"Стадия 3";"Etapa 3";"Fase 3";"Trin 3";"";"Fase 3";"Etap 3";"Vaihe 3";"Fase 3";"3. Evre";"Сцена 3";"Fáze 3";"Στάδιο 3";"3-as stádium";"";"Etapa 3";"Etapa 3";"Етап 3";"المرحلة 3";"阶段 3";"階段 3";"";"스테이지 3";"ด่านที่ 3";""
"core_announcement_subtitle_stage_3";"Türme werden stärker!";"Towers gain strength!";"Les tours gagnent en force!";"As torres ganharam força!";"Башни укрепляются!";"Las torres se fortalecen!";"Le torri guadagnano forza!";"Tårnene bliver stærkere!";"";"Torens worden sterker!";"Wieże zyskują siłę!";"Torneista tuli vahvempia!";"Torres estão ainda mais fortes!";"Kuleler güç kazandı!";"";"Věže zesílili!";"Οι πύργοι κερδίζουν δύναμη!";"A tornyok erősödnek!";"";"Turnurile câștigă forță!";"¡Las torres ganan fuerza!";"Вежі набирають сили!";"اكتسبت الأبراج القوة!";"塔得到了加强！";"塔得到了加強！";"";"탑이 강화됩니다!";"";""
"core_announcement_title_showdown";"Showdown";"Showdown";"Confrontation";"Confronto";"Финальный бой";"Enfrentamiento";"Resa dei Conti";"Opgør";"";"Confrontatie";"Konfrontacja";"Aika pistää parasta";"Confronto";"Güç gösterisi";"";"Finále";"Αναμέτρηση";"Leszámolás";"";"Marea Confruntare";"";"Відкрити карти";"المواجة الحاسمة";"对决";"對決";"";"결전의 시간";"";""
"core_announcement_subtitle_showdown";"Türme bombardieren den Nexus!";"Towers attack Nexus!";"Les Tours attaquent le nexus!";"As Torres atacam o Nexus!";"Башни атакуют Нексус!";"Las torres atacan al Nexo!";"Le torri attaccano i Nuclei!";"Tårnene angriber Nexus!";"";"Torens vallen de Nexus aan!";"Wieże atakują Nexus!";"Tornit hyökkäävät Nexukseen!";"Torres agora atacam o Nexus!";"Kuleler Merkez'e Saldırıyor!";"";"Věže útočí na základnu!";"Οι πύργοι επιτίθενται στο Πλέγμα!";"A tornyok a Nexus-t támadják!";"";"Turnurile atacă Nexus!";"¡Las torres atacan al Nexus!";"Вежі атакують Нексуса!";"الأبراج تهاجم القاعدة!";"哨塔正在攻击主堡！";"塔正攻擊主堡！";"";"탑이 넥서스를 공격합니다!";"";""
"core_announcement_title_waiting";"Warten...";"Waiting...";"En attente...";"Esperando...";"Ожидание...";"Esperando...";"In attesa...";"Venter...";"";"Wachten...";"Oczekiwanie...";"Odotetaan...";"Aguardando...";"Bekleniyor...";"";"Čekám…";"Περίμενε...";"Várakozás...";"";"În așteptare...";"Esperando...";"Чекаємо...";"في الأنتظار...";"等候中...";"等候中...";"";"대기 중...";"กำลังรอ...";""
"core_announcement_subtitle_waiting";"Spieler laden noch!";"Players are loading!";"Les joueurs se connectent!";"Os jogadores estão se conectando!";"Игроки загружаются!";"Los jugadores se están conectando!";"I giocatori si stanno connettendo!";"Spillerne er på vej!";"";"Spelers proberen verbinding te maken!";"Gracze łączą się!";"Pelaajat yhdistävät!";"Jogadores estão carregando!";"Oyuncular bağlanıyor!";"";"Hráči se připojují!";"Συνδέονται παίκτες!";"A játék töltődik, a többi játékosnál.";"";"Jucătorii se încarcă!";"Los jugadores se están conectando!";"Гравці завантажуються!";"جاري انتظار الاعبين!";"各玩家载入中！";"各玩家載入中！";"";"플레이어들이 로딩 중입니다!";"ผู้เล่นกำลังโหลด!";""
"core_game_commencing";"Warte auf Spieler...";"Waiting for players...";"En attente de joueurs...";"Esperando jogadores...";"Ожидание игроков...";"Esperando jugadores...";"Attendendo i giocatori...";"Venter på spillerne...";"";"Wachten op spelers...";"Oczekiwanie na graczy...";"Odotetaan pelaajia...";"Esperando por jogadores...";"Oyuncular bekleniyor...";"";"Čeká se na hráče…";"Αναμένουμε παίκτες...";"Várakozás a játékosokra...";"";"Așteptand jucătorii...";"Esperando a los jugadores...";"Чекаємо гравців...";"الأنتظار من اجل الاعبين...";"正在等候玩家们...";"正在等候玩家們...";"";"플레이어들을 기다리고 있습니다...";"กำลังรอผู้เล่น...";""
"core_gold_hint";"<span class=""keyword mana"">Mana</span> wird benutzt um Einheiten zu beschwören und Zauber zu sprechen. Dein <span class=""keyword mana"">Mana</span> regeneriert sich über Zeit. Wenn du das Limit erreichst wird zusätzliches <span class=""keyword mana"">Mana</span> automatisch in <span class=""keyword essence"">Essenz</span> umgewandelt.";"<span class=""keyword mana"">Mana</span> is used to Summon units and cast spells. Your <span class=""keyword mana"">Mana</span> regenerates over time. If you reach the cap, <span class=""keyword mana"">Mana</span> is automatically converted into <span class=""keyword essence"">Essence</span>.";"La <span class=""keyword mana"">mana</span> est utilisée pour invoquer des unités ou lancer des sorts. Votre <span class=""keyword mana"">mana</span> se régénère avec le temps. Si vous atteignez le maximum, la <span class=""keyword mana"">mana</span> est automatiquement convertie en <span class=""keyword essence"">essence</span>.";"<span class=""keyword mana"">Mana</span> é usada para convocar unidades e para usar feitiços. A tua <span class=""keyword mana"">Mana</span> regenera-se automáticamente. Se chegares ao limite, a <span class=""keyword mana"">Mana</span> é automaticamente convertida para <span class=""keyword essence"">Essence</span>.";"<span class=""keyword mana"">Мана</span> используется для заклинаний и призыва юнитов. Ваша <span class=""keyword mana"">мана</span> со временем восполняется. Если вы достигните предела, <span class=""keyword mana"">мана</span> автоматически преобразуется в <span class=""keyword essence"">эссенцию</span>.";"El <span class=""keyword mana"">maná</span> Es usado para invocar unidades y conjurar hechizos. Su <span class=""keyword mana"">Maná</span> Se regenera con el tiempo. Si llenas su barra, el <span class=""keyword mana"">Maná,</span> Se convertirá automáticamente en <span class=""keyword essence"">Escencia</span>.";"Il <span class=""keyword mana"">Mana</span> si usa per Evocare unità e lanciare magie. Il tuo <span class=""keyword mana"">Mana</span> si rigenera nel tempo. Se raggiungi il massimo, il <span class=""keyword mana"">Mana</span> è automaticamente convertito in <span class=""keyword essence"">Essenza</span>.";"<span class=""keyword mana"">Mana</span> bruges til at hidkalde enheder og udføre trolddom. Din <span class=""keyword mana"">Mana</span> regenererer med tiden. Hvis du rammer loftet, bliver <span class=""keyword mana"">Mana</span> automatisk omdannet til <span class=""keyword essence"">Essence</span>.";"";"";"<span class=""keyword mana"">Mana</span> jest używana do Przyzywania jednostek i rzucania czarów. Twoja <span class=""keyword mana"">Mana</span> reganeruje się w między czasie. Jeżeli osiągniesz Max, <span class=""keyword mana"">Mana</span> jest automatycznie przekształcana w <span class=""keyword mana"">Esencje</span>.";"<span class=""keyword mana"">Mana</span> käytetään kutsua yksiköitä ja heittää loitsuja. <span class=""keyword mana"">Mana</span> uusiutuu ajan. Jos Ymp: n, <span class=""keyword mana"">Mana</span> muunnetaan automaattisesti <span class=""keyword essence"">ydin</span>.";"<span class=""keyword mana"">Mana</span> é usado para Invocar unidades e gastar feitiços. Sua <span class=""keyword mana"">Mana</span> regenere a cada tempo. Se você atingir a limite, a <span class=""keyword mana"">Mana</span> é automaticamente convertida em <span class=""keyword essence"">Essência</span>.";"<span class=""keyword mana"">Mana</span>, birim çağırmak ve büyü yapmak için kullanılır. <span class=""keyword mana"">Mana</span> değerin zamanla yenilenir. Eğer <span class=""keyword mana"">Mana</span> değerin üst sınıra ulaşırsa, otomatik olarak <span class=""keyword essence"">Öz</span>'e dönüşür.";"";"<span class=""keyword mana"">Mana</span> slouží k vyvolávání a kouzlení. Tvá <span class=""keyword mana"">Mana</span> se průběžně obnovuje. Pokud dosáhneš maxima, <span class=""keyword mana"">Many</span> dojde k automatickému přechodu na generování <span class=""keyword essence"">Essence</span>.";"Χρησιμοποιείς το <span class=""keyword mana"">Μάνα</span> για να Επιστρατεύεις μονάδες και να κάνεις ξόρκια. Το <span class=""keyword mana"">Μάνα</span> σου ξαναγεμίζει με το χρόνο. Αν φτάσει στο μέγιστο, το <span class=""keyword mana"">Μάνα</span> μετατρέπεται αυτόματα σε <span class=""keyword essence"">Ουσία</span>.";"<span class=""keyword mana"">Mana</span> használható egységek megidézésére, valamint varázsolni. A <span class=""keyword mana"">Mana</span> regenerálódik az idő múlásával. Ha eléri a maximumot, <span class=""keyword mana"">Mana</span> automatikusan konvertálja a <span class=""keyword essence"">Essence</span>-be.";"";"<span class=""keyword mana"">Mana</span> este folosit pentru a invoca unități și a arunca vrăji. Regenerarea <span class=""keyword mana"">Manei</span> in timp. Dacă ajungi la maximum, <span class=""keyword mana"">Mana</span> este convertita automat <span class=""keyword essence"">Esență</span>.";"<span class=""keyword mana"">Mana</span> se usa para invocar unidades y lanzar hechizos. Su <span class=""keyword mana"">Mana</span> se regenera con el tiempo. Si alcanza el límite, <span class=""keyword mana"">Mana</span> se convierte automáticamente en <span class=""keyword essence"">Esencia</span>.";"<span class=""keyword mana"">Мана</span> використовується для призову юнітів і накладання заклинань. Ваша <span class=""keyword mana"">мана</span> регенерує з плином часу. Якщо ви досягнете ліміту, <span class=""keyword mana"">мана</span> автоматично перетвориться в <span class=""keyword essence"">Есенцію</span>.";"تُستخدم <span class = ""keyword mana""> الطاقة </span> لاستدعاء الوحدات واستعمال التعاويذ. يتم تجديد <span class = ""keyword mana""> الطاقة </span> بمرور الوقت. إذا وصلت إلى الحد الأقصى ، يتم تحويلها <span class = ""keyword mana""> Mana </span> تلقائيًا إلى <span class = ""keyword essence"">عبوة جواهر </span>.";"<span class=""keyword mana"">魔力</span> 可被用来召唤单位以及施展法术。您的 <span class=""keyword mana"">魔力</span> 会随着时间慢慢回复。若是达到魔力上限， <span class=""keyword mana"">魔力</span> 将会被系统自动转换为 <span class=""keyword essence"">精华</span>。";"<span class=""keyword mana"">魔力</span> 可被用來召喚單位以及施展法術。你的 <span class=""keyword mana"">魔力</span> 會隨著時間慢慢回復。若是達到魔力上限， <span class=""keyword mana"">魔力</span> 將會被系統自動轉換為 <span class=""keyword essence"">精華</span>。";"";"<span class=""keyword mana"">마나</span>는 유닛을 소환하고 주문을 사용하는 데 사용됩니다. 또한, <span class=""keyword mana"">마나</span>는 시간이 지남에 따라 재생됩니다. 끝까지 재생되면 <span class=""keyword mana"">마나</span>는 자동으로 <span class=""keyword essence"">정수</span>로 변환됩니다.";"";""
