"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"teambuilding_caption";"Teamaufbau";"Teambuilding";"Création d'équipe";"";"Создание команд";"Trabajo en equipo";"Costruzione squadra";"Opsætning af hold";"";"Teamvorming";"Tworzenie drużyny";"Joukkueenrakennus";"Gerenciamento de Equipe";"Takım oluştur";"";"Skládání party";"Δημιουργία ομάδας";"Csapatösszerakás";"";"Construirea unei echipe";"";"Створення команди";"";"组队";"組隊";"";"팀 설계";"";""
"teambuilding_choose_scenario";"Spielmodus";"Scenario";"Scénario";"Cenário";"Сценарий";"Escenario";"Scenario";"Scenarie";"";"Scenario";"Scenariusz";"Skenaario";"Cenário";"Senaryo";"";"Kampaň";"Σενάριο";"";"";"Scenariu";"Escenario";"Сценарій";"";"场景";"場景";"";"시나리오";"";""
"teambuilding_choose_difficulty";"Schwierigkeitsgrad";"Difficulty";"Difficulté";"Dificuldade";"Сложность";"Dificultad";"Difficoltà";"Sværhedsgrad";"";"Moeilijkheidsgraad";"Poziom trudności";"Vaikeustaso";"Dificuldade";"Zorluk";"";"Obtížnost";"Δυσκολία";"Nehézségi szint";"";"Dificultate";"Dificultad";"Складність";"";"难度";"難度";"難易度";"난이도";"";""
"teambuilding_choose_gamemode";"Spielmodus";"Gamemode";"Mode de jeu";"Modo de jogo";"Режим игры";"Modo de juego";"Modalità di gioco";"Spiltype";"";"Spelwijze";"Tryb gry";"Pelimuoto";"Modo de Jogo";"Oyun türü";"";"Herní mód";"Λειτουργία παιχνιδιού";"Játékmód";"";"Mod de joc";"Modo de Juego";"Режим гри";"";"游戏模式";"遊戲模式";"ゲームモード";"게임 모드";"";""
"teambuilding_deck_dialog_caption";"Wähle dein Deck!";"Choose your deck!";"Choisissez votre deck!";"Escolhe o teu deck!";"Выберите свою колоду!";"¡Escoge tu mazo!";"Scegli il tuo mazzo!";"Vælg dit deck!";"";"Kies uw dek!";"Wybierz swoją talię!";"Valitse pakkasi!";"Selecione seu deck!";"Desteni seç!";"";"Vyber si balíček!";"Διάλεξε την τράπουλά σου!";"Válassz paklit!";"";"Alege-ți puntea!";"¡Elige tu paquete!";"Виберіть колоду!";"";"选择您的牌组！";"選擇你的卡牌組合！";"デッキの選択";"덱을 선택하세요!";"";""
"teambuilding_deck_not_set";"Nicht gewählt";"Not chosen";"Non choisi";"Não escolhido";"Выбор не сделан";"No elegido";"Non selezionato";"Ikke valgt";"";"Niet gekozen";"Nie wybrana";"Ei valittu";"Não escolhido";"Seçilmedi";"";"Nevybráno";"Δεν επιλέχτηκε";"Nincs kiválasztva";"";"Nespecificată";"No seleccionado";"Не вибрано";"";"未设定卡组";"未設定卡組";"未選択";"선택되지 않음";"";""
"teambuilding_deck_not_chosen";"Noch nicht gewählt";"Not chosen";"Non choisi";"Não escolhido";"Выбор не сделан";"No elegido";"Non selezionato";"Ikke valgt";"";"Niet gekozen";"Nie wybrana";"Ei valittu";"Não escolhido";"Seçilmedi";"";"Nevybráno";"Δεν επιλέχτηκε";"Nincs kiválasztva";"";"Nespecificată";"No seleccionado";"Не вибрано";"";"未选择卡组";"未選擇卡組";"未選択";"선택되지 않음";"";""
"teambuilding_deck_empty";"Das Deck ist leer und kann deswegen nicht gewählt werden.";"The deck is empty and cannot be chosen.";"Le deck est vide et ne peut pas être choisi.";"O baralho não pode ser escolhido porque está vazio.";"Колода пуста и её нельзя выбрать.";"Este mazo esta vació y no puede ser elegido";"Il mazzo è vuoto e non può essere scelto.";"Decket er tomt og kan ikke blive valgt.";"";"Het dek is leeg en kan niet worden gekozen.";"Talia jest pusta i nie może być wybrana.";"Pakka on tyhjä ja sitä ei voi valita.";"Esse deck está vazio e não pode ser escolhido.";"Bu deste boş olduğu için seçilemez.";"";"Balíček je prázdný a nemůže být vybrán.";"Η τράπουλα είναι άδεια και δεν μπορεί να επιλεγεί.";"A pakli üres, és nem lehet kiválasztani.";"";"Puntea este goală și nu poate fi aleasă.";"El paquete está vacío y no puede ser elegido.";"Колода порожня і її неможливо вибрати.";"";"此牌组未设定完毕，不能选择此牌组";"此卡牌組合未設定完畢，不能選擇此卡組";"";"덱이 비어있어서 선택할 수 없습니다.";"";""
"teambuilding_empty";"Freier Slot";"Empty Slot";"Emplacement vide";"Espaço Vazio";"Пустой Слот";"Hueco vacio";"Slot vuoto";"Ledig plads";"";"Leeg slot";"Puste miejsce";"Tyhjä paikka";"Espaço Vazio";"Boş Alan";"";"Prázdné Místo";"Άδεια Θέση";"Üres hely";"";"Slot gol";"Espacio vacío";"Порожній Слот";"";"空栏位";"空欄位";"空のスロット";"비어있음";"";""
"teambuilding_invites_pending";"%d ausstehende Einladungen";"%d pending invites";"%d invitations en attente";"%d Convites pendentes";"%d приглашений, которые ожидают ответа";"%d invitaciones pendientes";"%d inviti in sospeso";"Afventende invitationer";"";"%d wachtende uitnodigingen";"%d oczekujących zaproszeń";"%d odottavaa kutsua";"%d convites pendentes";"%d bekleyen davet";"";"%d čekající pozvánka";"%d προσκλήσεις σε εκκρεμότητα";"%d baráti felkérés függőben";"";"%d invitații în așteptare";"%d invitaciones pendientes";"%d в очікуванні запрошення";"";"%d等待接受邀请";"%d等待接受邀請";"";"%d개의 보류된 초대가 있습니다.";"";""
"teambuilding_inqueue_title";"In der Warteschlange...";"In Queue. Please be patient...";"Dans la file. S'il vous plaît soyez patient...";"Na fila. Por favor aguarda...";"В очереди. Пожалуйста, подождите...";"En cola. Por favor, sea paciente...";"In coda, attendere per favore...";"Søger. Vent venligst...";"";"In de Wachtrij. Even geduld...";"W kolejce. Prosimy o cierpliwość...";"Jonossa. Olethan kärsivällinen...";"Na Fila";"Sırada";"";"Ve vyhledávání. Trochu trpělivosti...";"Σε αναμονή. Παρακαλούμε περίμενε...";"Meccskeresés. Kérlek, légy türelemmel...";"";"În așteptare. Te rog fii rabdator...";"En cola. Por favor, tenga paciencia...";"У черзі. Будь ласка, будьте терплячі...";"";"排队中。请耐心等候。。。";"排隊中。請耐心等候。。。";"";"게임을 찾고 있습니다. 조금만 기다려주세요.";"";""
"teambuilding_invite_expired";"hatte dich zu einem Spiel eingeladen. Die Einladung ist abgelaufen.";"invited you to a game, but the invite has expired.";"vous a invité à une partie, mais l'invitation a expirée.";"convidou-te para um jogo, mas o convite expirou.";"пригласил(-а) вас в игру, но срок действия приглашения истек.";"Has sido invitado a una partida, pero la invitación ha caducado.";"ti ha invitato in una partita, ma l'invito è scaduto.";"har inviteret dig til et spil, men invitationen er udløbet.";"";"uitgenodigd voor een spel, maar de uitnodiging is verlopen.";"zaprosił Ciebie do gry, ale zaproszenie wygasło.";"kutsui sinut peliin, mutta kutsu on vanhentunut.";"convidou você para um jogo, mas o convite expirou.";"seni oyuna davet etti fakat davet süresi doldu.";"";"tě pozval do hry, ale pozvánka vypršela.";"σε προσκάλεσε σ' ένα παιχνίδι, αλλά η πρόσκληση έχει λήξει.";"meghívott téged egy meccsre, de a meghívás már lejárt.";"";"te-a invitat la un joc, dar invitația a expirat.";"te invitó a un juego, pero la invitación ha expirado.";"запросив вас до гри, але запрошення минуло.";"";"邀请您加入游戏，但是邀请已过期";"邀請您加入游戲，但是邀請已過期";"";"님이 게임에 초대했으나, 요청 시간이 만료되었습니다.";"";""
"teambuilding_invite_incoming";"hat dich zu einem Spiel eingeladen.";"has invited you to a game.";"vous a invité à une partie.";"convidou-te para um jogo.";"пригласил(-а) вас в игру.";"Has sido invitado a una partida.";"ti ha invitato in una partita.";"har inviteret dig til et spil.";"";"heeft u uitgenodigd voor een spel.";"zaprosił Ciebie do gry.";"kutsui sinut peliin.";"convidou você para um jogo.";"seni oyuna davet etti.";"";"tě pozval do hry.";"σε έχει προσκαλέσει σ' ένα παιχνίδι.";"meghívott egy meccsre.";"";"te-a invitat la un joc.";"te ha invitado a una partida.";"запросив вас в гру.";"";"邀请您加入游戏";"邀請您加入游戲";"";"님이 게임에 초대했습니다.";"";""
"teambuilding_invite_player";"Spieler einladen";"Invite player";"Inviter un joueur";"Convidar jogador";"Пригласить игрока";"Invitar Jugador";"Invita giocatore";"Invitér spiller";"";"Nodig speler uit";"Zaproś gracza";"Kutsu pelaaja";"Convidar jogador";"Oyuncu davet et";"";"Pozvi hráče";"Προσκάλεσε παίκτη";"Játékos meghívása";"";"Invită jucator";"Invitar jugador";"Запросити гравця";"";"邀请玩家";"邀請玩家";"プレイヤーを招待";"플레이어 초대";"";""
"teambuilding_mode_duel";"Freies Spiel";"Custom Game";"Partie personnalisée";"Jogo Personalizado";"Кастомизировать игру";"Partida Personalizada";"Partita personalizzata";"Brugerdefineret spil";"";"";"Niestandardowa gra";"Mukautettu peli";"Jogo Customizado";"Özel Oyun";"";"Vlastní Zápas";"ΠΡΟΣΑΡΜΟΣΜΕΝΟ ΠΑΙΧΝΙΔΙ";"Egyéni Játék";"";"Joc personalizat";"Juego personalizado";"Користувацькі Ігри";"";"自定义游戏";"自定義遊戲";"カスタムゲーム";"사용자 지정 게임";"";""
"teambuilding_mode_pve";"Gegen die Golems";"Golem Challenge";"Défi de Golem";"Desafio Golem";"Дуэль с Големами";"Desafía al Golem";"Sfida dei Golem";"Golem-udfordringen";"";"Golem Uitdaging";"Wyzwanie z Golemem";"Golem-haaste";"Contra I.A.";"Botlara Karşı";"";"Výzva Golemů";"ΠΡΟΚΛΗΣΗ ΓΚΟΛΕΜ";"Gólem Próba";"";"Provocarea Golemului";"Reto de Golem";"Випробування Голема";"";"魔像挑战";"魔像挑戰";"";"골렘 도전";"";""
"teambuilding_mode_pvp";"Schnellsuche";"Quick Match";"Partie rapide";"Partida Rápida";"Быстрый матч";"Partida Rápida";"Partita Veloce";"Hurtigt Spil";"";"Snelle wedstrijd";"Szybki mecz";"Pikaottelu";"Partida Rápida";"Hızlı Oyun";"";"Rychlá Hra";"ΓΡΗΓΟΡΟ ΜΑΤΣ";"Gyorsmeccs";"";"Meci rapid";"Partida rápida";"Швидкий Матч";"";"快速匹配";"快速匹配";"";"빠른 대전";"";""
"teambuilding_mode_pvp_ranked";"Gewertet";"Ranked";"Classé";"Competitivo";"Ранговый";"Clasificatoria";"Classificata";"Rangeret spil";"";"Geplaatst";"Turniejowy";"Ranked";"Competitiva";"Dereceli";"";"Ranked";"Κατάταξης";"Rangsorolt";"";"Clasament";"Clasificados";"Рейтинг";"";"排位赛";"排位賽";"";"랭크";"";""
"teambuilding_mode_tutorial";"Einführung";"Tutorial";"Tutoriel";"Tutorial";"Обучение";"Tutorial";"Addestramento";"Lær at spille";"";"Tutorial";"Samouczek";"Opetuspeli";"Tutorial";"Öğretici";"";"Tutoriál";"Μάθημα";"Oktató";"";"Tutorial";"Tutorial";"Підручник";"";"教学模式";"教學模式";"チュートリアル:";"튜토리얼";"";""
