"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"quests_tutorial_caption";"Einführung";"Introduction";"Introduction";"Introdução";"Введение";"Introducción";"Introduzione";"Introduktion";"";"Introductie";"Wprowadzenie";"Johdanto";"Introdução";"Giriş";"";"Úvod";"Εισαγωγή";"Bevezetés";"";"Introducere";"Introducción";"Вступ";"مقدمة";"介绍";"簡介";"";"기초";"บทนำ";""
"quests_event_caption";"Ereignis";"Event";"Événement";"Evento";"Событие";"Evento";"Evento";"Begivenhed";"Event";"Evenement";"Wydarzenie";"Tapahtuma";"Evento";"Etkinlik";"Събитие";"Event";"Συμβάν";"Esemény";"";"Eveniment";"Evento";"Подія";"حدث";"活动";"事件";"";"이벤트";"อีเวนต์";""
"quests_daily_caption";"Täglich";"Daily";"Quotidienne";"Diária";"Ежедневные";"Diario";"Giornaliere";"Daglig";"Dagligen";"Dagelijks";"Dzienne";"Päivittäinen";"Diária";"Günlük";"";"Denní";"Καθημερινά";"Napi";"";"Zilnic";"Diario";"Щоденні";"يومي";"每日任务";"每日";"";"일일";"รายวัน";""
"quests_daily_empty";"Du hast für heute alle täglichen Quests geschafft.";"You completed all daily quests for today.";"Vous avez complété toutes les quêtes jounalières pour aujourd'hui.";"Você completou todas as missões diárias de hoje.";"Вы завершили все ежедневные квесты на сегодня.";"Has completado todas las misiones hoy.";"Hai completato tutte le missioni giornaliere per oggi.";"Du har gennemført alle de daglige opgaver for i dag.";"";"Je hebt alle missies van vandaag gedaan.";"Wykonałeś dziś wszystkie zadania dzienne.";"Olet suorittanut kaikki päivittäiset tehtävät tältä päivältä.";"Você completou todas as missões diárias.";"Bugün için tüm günlük görevleri tamamladın.";"";"Dokončil jsi všechny dnešní úkoly.";"Ολοκλήρωσες όλες τις καθημερινές αποστολές για σήμερα.";"Megcsináltad az összes mai napi küldetést.";"";"Ați finalizat toate căutările zilnice pentru astăzi.";"Has completado todas las misiones diarias de hoy.";"Ви виконали всі щоденні завдання на сьогодні.";"اكملت جميع المهام اليوم.";"您已经完成今天的任务。";"您已完成今天所有的本日任務。";"";"모든 일일 퀘스트를 완료했습니다.";"คุณสำเร็จภารกิจรายวันทั้งหมดของวันนี้แล้ว";""
"quests_weekly_caption";"Wöchentlich";"Weekly";"Hebdomadaire";"Semanal";"Еженедельные";"Semanal";"Settimanali";"Ugentlig";"";"Wekelijks";"Tygodniowe";"";"Semanal";"Haftalık";"Седмични";"Týdenní";"Εβδομαδιαία";"Heti";"";"Săptămânal";"Semanal";"Щотижневі";"اسبوعي";"每周任务";"每週";"";"주간";"รายสัปดาห์";""
"quests_weekly_empty";"Du hast für diese Woche alle wöchentlichen Quests geschafft.";"You completed all weekly quests for this week.";"Vous avez complété toutes les quêtes hebdomadaires pour cette semaine.";"Você completou todas as missões semanais dessa semana.";"Все завершили все еженедельные квесты на эту неделю.";"Has completado todas las misiones semanales.";"Hai completato tutte le missioni settimanali per questa settimana.";"Du har gennemført alle de ugentlige opgaver for denne uge.";"";"Je hebt alle missies van deze week gedaan.";"Wykonałeś w tym tygodniu wszystkie zadania tygodniowe.";"Olet suorittanut kaikki viikoittaiset tehtävät tältä viikolta.";"Você completou todas as missões semanais.";"Bu hafta için tüm haftalık görevleri tamamladın.";"";"Dokončil jsi všechny týdenní úkoly.";"Ολοκλήρωσες όλες τις εβδομαδιαίες αποστολές γι' αυτήν την εβδομάδα.";"Megcsináltad az összes e heti küldetést.";"";"Ați finalizat toate căutările săptămânale pentru această săptămână.";"Has completado todas las misiones semanales de esta semana.";"Ви виконали всі тижневі завдання на цей тиждень.";"لقد اكملت جميع المهام الاسبوعية لهذا الاسبوع.";"您已经完成本周任务。";"您已完成這一週所有的本週任務。";"";"모든 주간 퀘스트를 완료했습니다.";"คุณสำเร็จภารกิจรายสัปดาห์ทั้งหมดของสัปดาห์นี้แล้ว";""
"quests_collect";"Belohnung abholen";"Collect reward";"Collectez la récompense";"Coletar recompensa";"Собрать награду";"Coger recompensa";"Ottieni ricompensa";"Indløs belønningen";"";"Beloning ophalen";"Zbierz nagrodę";"Kerää palkinto";"Colete a recompensa";"Ödülü topla";"";"Vyzvednout odměnu";"Σύλλεξε την ανταμοιβή";"Jutalom begyűjtése";"";"Colectează recompensele";"Recoger recompensa";"Забрати нагороду";"اجمع الجائزة";"领取奖励";"領取獎勵";"";"보상 수령하기";"รับรางวัล";""
"quests_collect_hint";"Die Quest ist abgeschlossen. Hole jetzt deine Belohnung ab!";"The quest is completed. Collect your reward now!";"La quête est terminée. Collectez votre récompense maintenant!";"A missões foi completada. Colete a sua recompensa!";"Этот квест завершен. Соберите вашу награду прямо сейчас!";"Misión completada. Recoge tu recompensa ahora!";"La missione è completata. Ottieni la tua ricompensa ora!";"Opgaven blev gennemført. Indløs din belønning nu!";"";"De missie is afgerond. Haal je beloning nu op!";"Zadanie ukończone. Zbierz swoją nagrodę!";"Tehtävä on suoritettu. Kerää palkintosi nyt!";"A missão foi concluída. Colete sua recompensa agora!";"Bu görev tamamlandı. Şimdi ödülünü topla!";"";"Tento úkol je dokončen. Vyzvedni si odměnu!";"Η αποστολή εξετελέσθη. Τώρα σύλλεξε την ανταμοιβή σου!";"A feladat készen van. Fogad el a jutalmadat most!";"";"Căutarea este finalizată. Colectați acum recompensa!";"La misión se ha completado. ¡Recoge tu recompensa ahora!";"Квест завершено. Заберіть свою нагороду!";"اكتملت المهمة. اجمع جائزتك الان!";"任务完成。请您领取奖励！";"任務已結束。快去收下您的獎勵！";"";"퀘스트를 완료했습니다. 이제 보상을 수령하세요!";"ภารกิจสำเร็จแล้ว รับรางวัลของท่านได้เลย";""
"quests_reroll";"Quest ersetzen";"Replace quest";"Remplacez la quête";"Substituir missão";"Заменить квест";"Reemplazar misión";"Sostituisci missione";"Erstat opgave";"";"Verander missie";"Zamień zadanie";"Vaihda tehtävä";"Substituir missão";"Görevi değiştir";"";"Nahradit úkol";"Αντικατάστησε την αποστολή";"feladat cserélye";"";"Înlocuiți căutarea";"Reemplazar Mision";"Замінити квест";"استبدال المهمة";"替换任务";"更換任務";"";"퀘스트 새로 고침하기";"แทนที่ภารกิจ";""
"quests_reroll_empty";"Du kannst heute keine Quests mehr ersetzen.";"You can't replace any more quests today.";"Vous ne pouvez pas remplacer d'autres quêtes aujourd'hui.";"Você não pode substituir mais nenhuma missão hoje.";"Вы не можете больше заменять квесты сегодня.";"Yo no puedes reemplazar ninguna misión mas hoy.";"Non puoi più sostituire missioni per oggi.";"";"";"Je kan geen missies vandaag veranderen.";"Nie możesz już dziś zamienić zadań.";"Et voi vaihtaa enempää tehtäviä tänään.";"Você não pode substituir mais missões hoje.";"Bugün daha fazla görev değiştiremezsin.";"";"Dnes nemůžeš nahradit více úkolů.";"Δεν μπορείς να αντικαταστήσεις περισσότερες αποστολές σήμερα.";"Nem tudsz több feladat cserélni mára.";"";"Nu mai puteți înlocui astăzi alte căutări.";"No puedes reemplazar más misiones hoy.";"Ви не можете більше замінювати квести сьогодні.";"لا يمكنك استبدال المزيد من المهام اليوم.";"今天任务已替换。";"您今日無法更換更多的任務。";"";"오늘은 퀘스트를 더 새로 고침할 수 없습니다.";"คุณไม่สามารถแทนที่ภารกิจอีกในวันนี้";""
