"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"scenario_user_name_pve_attack_solo";"Kristalllegion";"Crystal Legion";"Légion de cristal";"Legião de Cristal";"Кристальный легион";"Legión de Cristal";"Legione di Cristallo";"";"";"";"Kryształowy Legion";"Kristalli legioona";"Legião de Cristal";"Kristal Lejyon";"";"Legie Krystalů";"Κρυστάλλινη Λεγεώνα";"Kristály Légió";"Krystall Legion";"Legiunea de cristal";"Legión de cristal";"Кришталевий Легіон";"الفيلق الكرستالي";"水晶军团";"水晶軍團";"";"수정 군단";"พันธมิตรแห่งคริสตัล";""
"scenario_deck_name_pve_attack_solo_1";"Kieselsplitter (Stein)";"Pebble Splinter (Stone)";"Éclat de caillou (pierre)";"";"Осколок Гальки (Камень)";"Espina de Guijarro (Piedra)";"Frammento di ciottolo (Pietra)";"";"";"";"Odłamek Kamyka (Kamień)";"Kivitikku (kivi)";"Lasca de Cristal (Pedra)";"Çakıl Kıymık (Taş)";"";"Rozdělovač Kamínků (Kámen)";"Θρύψαλο Βότσαλου (Λίθος)";"";"";"Bolovan Despicat (Piatră)";"";"Уламок Гальки (Камінь)";"";"圆石冲刺者(石头)";"圓石衝刺者(石頭)";"";"조약돌 조각(스톤)";"";""
"scenario_deck_name_pve_attack_solo_2";"Geröllfragment (Bronze)";"Debris Fragment (Bronze)";"Fragment de débris (bronze)";"";"Фрагмент Обломков (Бронза)";"Fragmento de Escombros (Bronce)";"Frammento di rottami (Bronzo)";"";"";"";"Fragment Rumowiska (Brąz)";"Roskantekijä (pronssi)";"Restolho Fragmentado (Bronze)";"Enkaz Parçası (Bronz)";"";"Část Trosek (Bronz)";"Θραύσματα Συντριμμιών (Χαλκός)";"";"";"Fragment de Resturi (Bronz)";"";"Фрагмент Уламків (Бронза)";"";"残骸碎片(青铜)";"殘骸碎片(青銅)";"";"잔해 파편(브론즈)";"";""
"scenario_deck_name_pve_attack_solo_3";"Steinschlag (Silber)";"Falling Rock (Silver)";"Chute de roches (argent)";"";"Падающий Утес (Серебро)";"Desprendimiento de Rocas (Plata)";"Roccia Precipitata (Argento)";"";"";"";"Spadający Głaz (Srebro)";"Tippukivi (hopea)";"Pedras Caídas (Prata)";"Düşen Kaya (Gümüş)";"";"Padající Šutr (Stříbro)";"Πίπτων Βράχος (Ασήμι)";"";"";"Piatră Alunecănd (Argint)";"";"Падаючий Утьос (Срібло)";"";"掉落之石(白银)";"掉落之石(白銀)";"";"떨어지는 바위(실버)";"";""
"scenario_deck_name_pve_attack_solo_4";"Felsrutsch (Gold)";"Rock Slide (Gold)";"Éboulement de roches (or)";"";"Сползание Утеса (Золото)";"Avalancha (Oro)";"Scivolo di Pietra (Oro)";"";"";"";"Osunięcie Głazów (Złoto)";"Kiviluiske (kulta)";"Declive de Rocha (Ouro)";"Kaya Heyelanı (Altın)";"";"Sešup Šutrů (Zlato)";"Κατολίσθηση (Χρυσός)";"";"";"Tobogan de Stâncă (Aur)";"Deslizamiento de piedras (oro)";"Сповзання Утеса (Золото)";"";"岩石流(黄金)";"岩石流(黃金)";"";"돌 미끄럼틀(골드)";"";""
"scenario_deck_name_pve_attack_solo_5";"Granitlawine (Kristall)";"Granite Avalanche (Crystal)";"Avalanche de granite (cristal)";"";"Гранитная Лавина (Кристалл)";"Avalancha de Granito (Cristal)";"Valanga Granitica (Cristallo)";"";"";"";"Granitowa Lawina (Kryształ)";"Graniittivyöry (kristalli)";"Avalanche de Granito (Cristal)";"Granit Çığ (Kristal)";"";"Žulová Lavina (Krystal)";"Καταιγισμός Γρανίτη (Κρύσταλλος)";"";"";"Avalanșă de Granit (Cristal)";"Avalancha de granito (cristal)";"Гранітна Лавина (Кристал)";"";"花岗岩石崩(水晶)";"花崗岩雪崩(水晶)";"";"화강암 산사태(수정)";"";""
"scenario_user_name_pve_attack";"Kristalllegion";"Crystal Legion";"Légion de cristal";"Legião de Cristal";"Кристальный легион";"Legión de Cristal";"Legione di Cristallo";"";"";"";"Kryształowy Legion";"Kristalli legioona";"Legião de Cristal";"Kristal Lejyon";"";"Legie Krystalů";"Κρυστάλλινη Λεγεώνα";"Kristály Légió";"Krystall Legion";"Legiunea de cristal";"";"Кришталевий Легіон";"الفيلق الكرستالي";"水晶军团";"水晶軍團";"";"수정 군단";"พันธมิตรแห่งคริสตัล";""
"scenario_deck_name_pve_attack_1";"Kieselsplitter (Stein)";"Pebble Splinter (Stone)";"Éclat de caillou (pierre)";"";"Осколок Гальки (Камень)";"Espina de Guijarro (Piedra)";"Frammento di ciottolo (Pietra)";"";"";"";"Odłamek Kamyka (Kamień)";"Kivitikku (kivi)";"Lasca de Cristal (Pedra)";"Çakıl Kıymık (Taş)";"";"Rozdělovač Kamínků (Kámen)";"Θρύψαλο Βότσαλου (Λίθος)";"";"";"Bolovan Despicat (Piatră)";"";"Уламок Гальки (Камінь)";"";"圆石冲刺者(石头)";"圓石衝刺者(石頭)";"";"조약돌 조각(스톤)";"";""
"scenario_deck_name_pve_attack_2";"Geröllfragment (Bronze)";"Debris Fragment (Bronze)";"Fragment de débris (bronze)";"";"Фрагмент Обломков (Бронза)";"Fragmento de Escombros (Bronce)";"Frammento di rottami (Bronzo)";"";"";"";"Fragment Rumowiska (Brąz)";"Roskantekijä (pronssi)";"Restolho Fragmentado (Bronze)";"Enkaz Parçası (Bronz)";"";"Část Trosek (Bronz)";"Θραύσματα Συντριμμιών (Χαλκός)";"";"";"Fragment de Resturi (Bronz)";"";"Фрагмент Уламків (Бронза)";"";"残骸碎片(青铜)";"殘骸碎片(青銅)";"";"잔해 파편(브론즈)";"";""
"scenario_deck_name_pve_attack_3";"Steinschlag (Silber)";"Falling Rock (Silver)";"Chute de roches (argent)";"";"Падающий Утес (Серебро)";"Desprendimiento de Rocas (Plata)";"Roccia Precipitata (Argento)";"";"";"";"Spadający Głaz (Srebro)";"Tippukivi (hopea)";"Pedras Caídas (Prata)";"Düşen Kaya (Gümüş)";"";"Padající Šutr (Stříbro)";"Πίπτων Βράχος (Ασήμι)";"";"";"Piatră Alunecănd (Argint)";"";"Падаючий Утьос (Срібло)";"";"掉落之石(白银)";"掉落之石(白銀)";"";"떨어지는 바위(실버)";"";""
