"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"mastervolumecaption";"Gesamtlautstärke:";"Master volume";"Volume principal";"Volume Geral";"Контроль звука";"Volumen general";"Volume generale";"";"Huvudvolym";"Hoofd Volume";"Głośność ogólna";"Yleinen äänenvoimakkuus";"Volume Geral";"Ana ses";"Общ звук";"Celková hlasitost";"Γενική ένταση";"Fő hangerő";"";"Volumul principal";"Volumen general";"Контроль звуку";"";"主音量";"主音量";"";"전체 음량";"ระดับเสียงหลัก";""
"keyboard";"Tastenbelegung";"Keyboard";"Clavier";"Teclado";"Клавиатура";"Teclado";"Tastiera";"";"Tangentbord";"Toetsenbord";"Klawiatura";"Näppäimistö";"Teclado";"Klavye";"Клавиатура";"Klávesnice";"Πληκτρολόγιο";"Billentyűzet";"";"Tastatură";"Teclado";"Клавіатура";"لوحة المفاتيح";"键盘";"鍵盤";"";"키보드";"แป้นพิมพ์";""
"gui_settings_menu_graphics_deferred_shading";"Hochqualitativer Renderer";"High-Quality Renderer";"Rendu de haute qualité";"Renderização de Alta Qualidade";"Высокое качество визуализации";"Renderizador de alta calidad";"Render Alta Qualità";"";"Högkvalitativ Framställning";"";"Ulepszone renderowanie";"Parannettu piirtosuoritin";"Renderizador Aprimorado";"Yüksek Kalite İşleyici";"";"Vysoce-Kvalitní Vykreslovač";"Απόδοση Υψηλής Ποιότητας";"Magas Minőségű Renderer";"";"Randare de înaltă calitate";"Renderizador de alta calidad";"Висока Якість Візуалізації";"";"高品质渲染器";"高品質渲染器";"";"고품질 랜더 최적화";"";""
"gui_settings_menu_graphics_distortion";"Verzerrungseffekte";"Distortion";"Distorsion";"Distorção";"Искажение";"Distorsión";"Distorsione";"";"Förvrängning";"Vervorming";"Zniekształcenie";"Vääristys";"Distorção";"Çarpıtma";"Изкривяване";"Zkreslení";"Παραμόρφωση";"Torzítás";"";"Distorsiune";"Distorsión";"Спотворення";"";"扭曲";"扭曲";"";"왜곡 보정";"";""
"gui_settings_menu_graphics_experimental";"Diese Option ist experimentell und kann die Leistung des Spiels stark beeinträchtigen.";"This option is experimental and can have a heavy negative impact on performance.";"Cette option est expérimentale et peut impacter négativement vos performances.";"Esta opção está em fase experimental e pode ter um impacto negativo no desempenho.";"Эта опция является экспериментальной и может оказать серьезное негативное влияние на производительность.";"Esta opción es experimental y puede tener un gran impacto negativo en el rendimiento.";"Questa opzione è sperimentale e potrebbe avere un impatto estremamente negativo sulle prestazioni.";"";"Det här alternativet är experimentellt och kan ha en kraftig negativ inverkan på prestanda.";"Deze optie is experimenteel en kan een hevig impact hebben op de performantie.";"Ta opcja jest eksperymentalna i może wywołać negatywny wpływ na wydajność.";"Tämä ominaisuus on testissä ja saattaa aiheuttaa suorituskykyyn negatiivisesti.";"Essa opção é experimental e pode causar grandes impactos negativos de performance.";"Bu seçenek deneyseldir ve bilgisayar performansı üzerinde olumsuz etki yapabilir.";"";"Tato možnost je experimentální a můžu mít velmi negativní dopad na výkon.";"Αυτή η επιλογή είναι πειραματική και μπορεί να έχει αρνητική επίπτωση στην απόδοση.";"";"";"Această opțiune este experimentală și poate avea un impact negativ puternic asupra performanței.";"Esta opción es experimental y puede tener un gran impacto negativo en el rendimiento.";"Це налаштування є експерементальним і може негативно вплинути на продуктивнісьть.";"";"这选项是实验性质，并可能导致性能方面极大的负面效果。";"這選項是實驗性質，並可能導致性能方面極大的負面效果。";"";"이 옵션은 아직 실험 중이고 성능에 매우 부정적인 영향을 미칠 수 있습니다.";"";""
"gui_settings_menu_graphics_fxaa";"Anti-Aliasing (FXAA)";"Antialiasing (FXAA)";"Anticrénelage (FXAA)";"Antialiasing (FXAA)";"Сглаживание (FXAA)";"Antialiasing (FXAA)";"Antialiasing (FXAA)";"";"Kantutjämning (FXAA)";"";"Antyaliasing (FXAA)";"Reunanpehmennys (FXAA)";"Anti-serrilhado (FXAA)";"Kenar Yumuşatma";"";"Antialiasing (FXAA)";"Antialiasing (FXAA)";"";"";"Antialiasing (FXAA)";"Antialiasing (FXAA)";"Згладжування (FXAA)";"";"抗钜齿 (FXAA)";"抗鉅齒 (FXAA)";"";"안티 앨리어싱 (FXAA)";"";""
"gui_settings_menu_graphics_glow";"Glow";"Glow";"Lueur";"Brilho";"Свечение";"Brillo";"Bagliore";"";"Sken";"Gloed";"Poświata";"Hehku";"Brilho";"Parlama";"Сияние";"Záře";"Λάμψη";"Ragyogás";"";"Strălucire";"Brillo";"Світіння";"";"光晕";"光暈";"";"광원 효과";"";""
"gui_settings_menu_graphics_gui_blur";"Dynamische Menühintergründe";"Dynamic menu backgrounds";"Fonds de menu dynamiques";"Fundo Dinâmico";"Динамические фоны меню";"Fondos dinámicos del menú";"Menù sfondi dinamici";"";"Dynamisk Bakgrund";"Dynamische menu achtergronden";"Dynamiczne tło menu";"Valikoiden dynaamiset taustat";"Menu de Fundo Dinâmico";"Dinamik menü arka planı";"Динамичен фон на меню";"Dynamické pozadí v menu";"Δυναμικές ταπετσαρίες στο μενού";"Dinamikus menü háttér";"";"Fundal dinamic de meniu";"Fondo del menú dinámico";"Динамічні фони меню";"";"动态目录背景";"動態目錄背景";"";"배경 애니메이션";"";""
"gui_settings_menu_graphics_shadows";"Schattenqualität";"Shadow quality";"Qualité des ombres";"Qualidade das Sombras";"Качество теней";"Calidad de Sombras";"Qualità delle ombre";"";"Skuggkvalitet";"Schaduw kwaliteit";"Jakość cieni";"Varjojen laatu";"Qualidade das Sombras";"Gölge kalitesi";"Качество на сенки";"Kvalita stínů";"Ποιότητα σκιάς";"Árnyék minőség";"";"Calitatea umbrelor";"Calidad de sombra";"Якість тіней";"جودة الظلال";"阴影品质";"陰影品質";"";"그림자 품질";"ระดับเงา";""
"gui_settings_menu_graphics_ssao";"Streulichtverdeckung (SSAO)";"Ambient Occlusion";"Occlusion ambiante";"Oclusão Ambiental";"Объемный свет";"Oclusión Ambiental";"Occlusione ambientale";"";"Omgivnings Ocklusion";"Sfeer occlusie";"Okluzja otoczenia";"Ambient Occlusion";"Oclusão de Ambiência";"Çevresel Perdeleme";"";"Ambient Occlusion";"Ambient Occlusion";"Környezeti okklúzió";"";"Lumină ambientală";"Oclusión ambiental";"Оклюзія";"";"环境光遮蔽";"環境光遮蔽";"";"주변 폐색";"";""
"gui_settings_menu_graphics_toon";"Kantenbetonung";"Toon border";"Bordure des dessins";"Mostrar Fronteira";"Граница Toon";"Borde Toon";"Toon border";"";"Toon Gränsen";"";"Kreskówkowe obwódki";"Reunaviiva";"Delineador Cartunesco";"Sınır Çizgisi";"";"Kreslené stíny";"Toon border";"Toon szegély";"";"Tonul mărginilor";"Borde Toon";"Показати межі";"";"人物边线";"人物邊線";"";"만화 테두리";"";""
"gui_settings_menu_graphics_unsharp_masking";"Bild schärfen";"Sharpen Image";"Affiner l'image";"Nitidez da Imagem";"Резкость изображения";"Enfoque de Imagen";"Nitidezza immagine";"";"Bild Skärpa";"";"Wyostrz obraz";"Kuvan terävöitys";"Afiar Imagem";"Resmi Netleştir";"";"Zaostření Obrazu";"Ευκρίνεια Εικόνας";"Kép Élesítés";"";"Claritatea imaginii";"Enfocar La Imagen";"Різкість Зображення";"";"影像锐利化";"影像銳利化";"";"선명한 이미지";"";""
"gui_settings_menu_graphics_window_mode";"Fenstermodus";"Window mode";"Mode fenêtré";"Modo de Janela";"Режим отображения в окне";"Modo Ventana";"Modalità in finestra";"";"Fönsterläge";"Venster modus";"Tryb okna";"Ikkunoitu tila";"Modo Janela";"Pencere Modu";"";"Režim v okně";"Λειτουργία παραθύρου";"Ablakos mód";"";"Modul fereastră";"Modo de ventana";"Режим вікна";"وضع النافذة";"视窗模式";"視窗模式";"";"창 모드";"";""
"gui_settings_menu_graphics_shadowmode_sqhigh";"Hoch";"High";"Haute";"Alta";"Высокий";"Alto";"Alta";"Høj";"Hög";"Hoog";"Wysokie";"Korkea";"Alto";"Yüksek";"Високо";"Vysoké";"Υψηλή";"Magas";"";"Înalt";"Alta";"Високий";"";"高";"高";"";"높음";"สูง";""
"gui_settings_menu_graphics_shadowmode_sqlow";"Niedrig";"Low";"Basse";"Baixa";"Низкий";"Bajo";"Bassa";"Lav";"Låg";"Laag";"Niskie";"Matala";"Baixo";"Düşük";"Ниско";"Nízké";"Χαμηλή";"Alacsony";"";"Scăzută";"Baja";"Низький";"";"低";"低";"";"낮음";"ต่ำ";""
"gui_settings_menu_graphics_shadowmode_sqmedium";"Mittel";"Medium";"Moyenne";"Média";"Средний";"Medio";"Media";"Mellem";"Medium";"Medium";"Średnie";"Keskitaso";"Médio";"Orta";"Средно";"Střední";"Μεσαία";"Közepes";"Medium";"Mediu";"Mediana";"Середній";"متوسط";"中等";"中等";"";"중간";"กลาง";""
"gui_settings_menu_graphics_shadowmode_sqoff";"Aus";"Off";"Sans";"Desligada";"Выключить";"Desactivado";"Off";"";"Av";"Uit";"Wyłączone";"Pois";"Desligado";"Kapalı";"Изкл";"Vypnuto";"Χωρίς";"Kikapcsolva";"";"Oprit";"Apagado";"Вимкнути";"";"关闭";"關閉";"";"끄기";"ปิด";""
"gui_settings_menu_graphics_shadowmode_squltrahigh";"Ultra";"Ultra";"Ultra";"Ultra";"Ультра";"Ultra";"Ultra";"Super";"Ultra";"Ultra";"Ultra";"Ultra";"Ultra";"Çok Yüksek";"Ултра";"Ultra";"Ακραία";"Ultra";"";"Ultra";"Ultra";"Ультра";"";"超高";"超高";"";"매우 높음";"สูงมาก";""
"gui_settings_menu_graphics_shadowmode_sqverylow";"Sehr niedrig";"Very Low";"Très Basse";"Muito Baixa";"Очень низкий";"Muy Bajo";"Molto bassa";"Meget Lav";"Mycket Låg";"Heel laag";"Bardzo niskie";"Todella matala";"Muito Baixo";"Çok Düşük";"Много Ниско";"Velmi Nízké";"Πολύ Χαμηλή";"Nagyon alacsony";"";"Foarte Scăzut";"Muy baja";"Дуже Низька";"";"极低";"極低";"";"매우 낮음";"ต่ำมาก";""
