"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"ok";"Ok";"Ok";"Ok";"Ok";"Ок";"Vale";"Ok";"Okay";"Ok";"Oké";"Ok";"Ok";"Ok";"Tamam";"";"Ok";"ΟΚ";"OK";"";"Ok";"";"Ок";"";"";"確定";"";"확인";"";""
"close";"Schließen";"Close";"Fermer";"Fechar";"Закрыть";"Cerrar";"Chiudi";"Luk";"Stäng";"Sluit";"Zamknij";"Sulje";"Fechar";"Kapat";"";"Zavřít";"Κλείσιμο";"Bezár";"";"Închide";"";"Закрити";"";"";"關閉";"";"닫기";"";""
"back";"Zurück";"Back";"Retour";"Voltar";"Назад";"Atras";"Indietro";"Tilbage";"Tillbaka";"Terug";"Wróć";"Takaisin";"Voltar";"Geri";"";"Zpět";"Πίσω";"Vissza";"";"Înapoi";"";"Назад";"";"";"返回";"";"뒤로";"";""
"to_shop";"Zum Shop";"To the shop";"Aller à la boutique";"Para a loja";"В магазин";"A la tienda";"Al Negozio";"Til butikken";"Till affären";"Naar de winkel";"Do sklepu";"Kauppaan";"Para a loja";"Dükkana";"";"Do obchodu";"Στο κατάστημα";"A boltba";"";"Către magazin";"";"В магазин";"";"";"前往商店";"";"상점으로 가기";"";""
"wait";"Warten";"Wait";"Attendez";"Esperar";"Подождите";"Esperar";"Aspetta";"Vent";"Vänta";"Wacht";"Czekaj";"Odota";"Esperar";"Bekle";"";"Čekej";"Περίμενε";"Várj";"";"Așteaptă";"";"Зачекайте";"";"";"請稍等";"";"대기";"";""
"done";"Fertig";"Done";"Valider";"Concluído";"Готово";"Hecho";"Fatto";"Færdig";"Klar";"Klaar";"Zrobione";"Valmis";"Concluído";"Devam";"";"Hotovo";"Έτοιμο";"Kész";"";"Gata";"Hecho";"Гаразд";"";"";"已完成";"";"완료";"";""
"cancel";"Abbrechen";"Cancel";"Annuler";"Cancelar";"Отменить";"Cancelar";"Annulla";"Annuller";"Upphäva";"Stoppen";"Anuluj";"Peruuta";"Cancelar";"İptal";"";"Zrušit";"Ακύρωση";"Mégse";"";"Anulează";"Cancelar";"Скасувати";"";"";"取消";"";"취소";"ยกเลิก";""
"continue";"Weiter";"Continue";"Continuer";"Continuar";"Продолжить";"Continuar";"Continua";"Forsæt";"Fortsätt";"Doorgaan";"Kontynuuj";"Jatka";"Continuar";"Devam";"";"Pokračovat";"Συνέχεια";"Tovább";"";"Continuă";"";"Продовжити";"";"";"繼續";"";"계속";"";""
"copy_to_clipboard";"In die Zwischenablage kopieren";"Copy to clipboard";"Copier dans le presse-papiers";"Copiar";"Скопировать в буфер обмена";"Copiar a portapapeles";"Copia negli appunti";"Kopier til udklipsholder";"Kopiera till urklipp";"Kopiëren";"Kopiuj do schowka";"Kopioi leikepöydälle";"Copiar termo";"Kopyala";"";"Kopírovat";"Αντιγραφή στο πρόχειρο";"Vágólapra másolás";"";"Copiază în clipboard";"";"Скопіювати в буфер обміну";"";"";"複製到剪貼簿";"";"클립보드로 복사";"";""
"delete";"Löschen";"Delete";"Supprimer";"Deletar";"Удалить";"Borrar";"Elimina";"Slet";"Radera";"Delete";"Usuń";"Poista";"Deletar";"Sil";"";"Odstranit";"Διαγραφή";"Törlés";"";"Șterge";"";"Видалити";"";"";"刪除";"";"삭제";"";""
