"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"currency_gold";"Credits";"Credits";"Crédits";"Créditos";"Кредиты";"Créditos";"Crediti";"";"";"Credits";"Kredyty";"Krediitit";"Créditos";"Kredi";"Кредити";"Kredity";"Μετρητά";"Kredit";"Kreditter";"Credite";"Créditos";"Кредити";"الذهب";"代币";"代幣";"";"크레딧";"";""
"currency_gold_hint";"- Credits -\nDu verdienst Credits durch jedes Match, welches du bestreitest. Im Shop kannst du dafür freigeschaltete Karten erwerben.";"- Credits -\nYou receive credits for each match you play. Spend them in the shop!";"- Crédits - \nVous recevez des crédits pour chaque partie que vous jouez. Dépensez-les dans la boutique!";"- Créditos -\nTu recebes créditos por cada partida que jogues. Gasta-os na Loja!";"- Кредиты-\nТы получаешь кредиты за каждый сыгранный матч. Трать их в магазине!";"Créditos: \ n Recibes créditos por cada partido que juegas. Gastalos en la tienda!";"- Crediti -\nRiceverai crediti per ogni partita che giocherai. Spendili nel negozio!";"";"";"- Credits -\nJe verdient credits voor elke wedstrijd die je speelt. Gebruik ze in de winkel!";"- Kredyty -\nDostajesz kredyty za każdy rozegrany mecz. Wydaj je w sklepie!";"- Krediitit -\nAnsaitset krediittejä jokaisesta pelaamastasi ottelusta. Käytä ne kaupassa!";"- Créditos -\nVocê receberá créditos por cada partida que jogar. Gaste-os na loja!";"- Kredi -\nOynadığınız her oyundan sonra kredi kazanırsınız. Onları dükkanda harcayın!";"- Кредити -\nПолучавате кредити за всяка изиграна игра. Използвайте ги в магазина!";"- Kredity -\nKredity obdržíš za každý odehraný zápas. Využí je v obchodě!";"- Μετρητά -\nΠαίρνεις μετρητά για κάθε ματς που παίζεις. Ξόδεψέ τα στο κατάστημα!";"";"- Kreditter -\nDu mottar kreditter for hver match du spiller. Bruk dem i butikken!";"- Credite -\nVei primi credite pentru fiecare meci jucat. Cheltuițile în magazin!";"- Créditos -\nRecibes créditos por cada partido que juegas. Gastalos en la tienda!";"- Кредити -\nВи отримуєте кредити за кожен зіграний матч. Витрачайте їх в магазині!";"تحصل على الذهب خلال لعب اي مباراة, اصرف تلك العملة في السوق";"- 代币 -\n每场战斗您都将收到代币。请在商店使用！";"- 代幣 -\n每場戰鬥你都將收到代幣。在商店好好使用！";"";"- 크레딧 -\n게임을 플레이할 때마다 크레딧을 받습니다. 가게에서 사용하세요!";"";""
"currency_diamonds";"Kristalle";"Crystals";"Cristaux";"Cristais";"Кристаллы";"Cristales";"Cristalli";"";"";"Kristallen";"Kryształy";"Kristallit";"Cristais";"Kristal";"Кристали";"Krystaly";"Κρύσταλλοι";"Kristály";"Krystaller";"Cristale";"Cristal";"Кристали";"الجواهر";"水晶";"水晶";"";"수정";"คริสตัล";""
"currency_diamonds_hint";"- Kristalle -\nDu kannst Kristalle für echtes Geld im Shop erwerben. Dort kannst du sie dafür verwenden Karten direkt freizuschalten und zu kaufen.";"- Crystals -\nYou can buy crystals for real money in the shop. Spend them to buy and unlock cards directly.";"- Cristaux -\nVous pouvez acheter des cristaux pour de l'argent réel dans la boutique. Dépensez-les pour acheter et déverrouiller des cartes directement.";"- Cristais -\nPodes comprar cristais com dinheiro real na Loja. Utiliza-os para comprar e desbloquear cartas.";"- Кристаллы -\nМожешь покупать кристаллы за деньги в магазине. Трать их, чтобы покупать и разблокировать карты.";"- Cristales -\nPuedes comprar cristales en la tienda con dinero real. Gastalos comprando aspectos o cartas para tu mazo.";"- Cristalli -\nPuoi comprare cristalli con soldi veri nel negozio. Spendili per comprare e sbloccare carte direttamente.";"";"";"- Kristallen-\nJe kan kristallen kopen van echt geld in de winkel. Gebruikt ze om kaarten te kopen en gelijk vrij te spelen.";"- Kryształy -\nMożesz kupić kryształy w sklepie za prawdziwe pieniądze. Wydawaj je aby bezpośrednio odblokować karty.";"- Kristallit -\nVoit ostaa kristalleja oikealla rahalla kaupasta. Käytä niitä avataksesi kortteja suoraan.";"- Cristais -\nVocê pode comprar cristais com dinheiro real na loja. Gaste-os para comprar e desbloquear cartas diretamente.";"- Kristal -\nKristalleri dükkandan satın alabilirsiniz. Onları yeni kartları daha hızlı açmak için kullanabilirsiniz.";"-Кристали-\nМожете да купите кристали срещу реална валута в онлайн магазина. Използвайте кристалите за да купувате и отключвате карти директно.";"- Krystaly -\nKrystaly lze koupit za peníze v obchodě. Slouží k okamžitému odemknutí karet a nákupu vzhledů.";"- Κρύσταλλοι -\nΜπορείς να αγοράσεις κρυστάλλους με αληθινά λεφτά στο κατάστημα. Ξόδεψέ τους για να αγοράζεις και να ξεκλειδώνεις κάρτες κατευθείαν.";"";"- Krystaller -\nDu kan kjøpe krystaller for ekte penger i butikken. Bruk dem for å kjøpe og låse opp kort direkte.";"- Cristale - \nPuteți cumpăra cristale cu bani reali în magazin. Cheltuiește-le să cumperi și să deblocheze carduri direct.";"- Cristales - \nPuedes comprar Cristales con dinero real en la tienda. Puedes comprar y desbloquear tarjetas directamente con ellos.";"- Кристали -\nВи можете купити кристали за реальні гроші у магазині. Витрачайте їх, щоб купити і розблокувати картки.";"يمكنك شراء الجواهر بواسطة المال. اصرف تلك الجواهر لفتح البطاقات مباشرتا";"- 水晶 -\n您可以在商店内氪金购买水晶。水晶可用来直接购买或解锁卡片。";"- 水晶 -\n你可以用現實錢幣在商店內購買水晶。水晶可用來直接購買或解鎖卡片。";"";"- 수정 -\n수정은 상점에서 현금으로 구매할 수 있습니다. 카드를 직접 구매하거나 잠금 해제하는 데 사용하세요.";"";""
"shop_balance_after_purchase";"Kontostand nach Kauf:";"Balance after purchase:";"Solde après l'achat:";"Balanço depois da compra:";"Баланс после покупки:";"Balance después de la compra:";"Bilancio dopo l'acquisto:";"";"Balans efter köpet:";"Saldo na aankoop:";"Po transakcji zostanie:";"Saldo oston jälkeen:";"Balanço pós compra:";"Satın alma sonrası bakiye:";"Наличност след покупката:";"Zůstatek po nákupu:";"Υπόλοιπο μετά την αγορά:";"Egyenleg a vásárlás után:";"Saldo etter kjøp:";"Soldul după cumpărare:";"Balance después de la compra:";"Баланс після купівлі:";"الحساب المتبقي بعد الشراء";"购买后的余额";"購買後的餘額";"";"구매 후 잔액:";"";""
"shop_item_limited_offer";"%d / %d gekauft";"%d / %d purchased";"%d / %d acheté";"%d / %d comprado";"%d / %d куплено";"%d / %d comprado";"%d / %d acquistati";"";"köpt";"%d / %d gekocht";"%d / %d kupionych";"%d / %d ostettu";"%d / %d comprado";"%d / %d satın alındı";"%d / %d закупени";"%d / %d koupeno";"Αγοράστηκαν %d / %d";"";"%d / %d kjøpt";"%d / %d cumpărat";"%d / %d comprados";"%d / %d куплено";"";"%d / %d 已购买";"%d / %d 已購買";"";"%d / %d 보유 중";"";""
"shop_currency_name_currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"";"";"§currency_diamonds";"§currency_diamonds";"Kristallit";"Cristais";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"";"§currency_diamonds";"§currency_diamonds";"§currency_diamonds";"Кристали";"عملة الماس";"§currency_diamonds";"§currency_diamonds";"";"§currency_diamonds";"";""
"shop_currency_name_currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"";"";"§currency_gold";"§currency_gold";"Kolikot";"Moedas";"§currency_gold";"§currency_gold";"§currency_gold";"§currency_gold";"";"§currency_gold";"§currency_gold";"§currency_gold";"Монети";"عملة الذهب";"§currency_gold";"§currency_gold";"";"§currency_gold";"";""
"shop_first_crystal_bonus_caption";"Einmaliger Bonus";"One-Time Bonus";"Bonus de première fois";"Bónus Único";"Бонус за первую покупку";"Bono de Primera Compra";"Bonus unico";"";"";"Eerste Aankoop Bonus";"Bonus za pierwszy zakup";"Kertaluontoinen bonus";"Bônus de Primeira Compra";"İlk Satın Alma Bonusu";"Единичен Бонус";"Jednorázový Bonus";"Εφάπαξ μπόνους";"Egyszeri Bónusz";"Engangs bonus";"Bonus unic";"Bono único";"Бонус за першу купівлю";"مكافئة لمرة واحدة";"单次优惠";"單次優惠";"";"일회성 추가 보상";"";""
"shop_first_crystal_bonus_text";"Du kannst als Bonus für deinen ersten Kristallkauf einen der oberen Skins oder Extra-Kristalle wählen!";"You can choose one of the above skins or bonus crystals as a reward for your first crystals purchase!";"Vous pouvez choisir l'une des apparences ou un bonus de cristaux comme récompense pour votre premier achat de cristaux!";"Você pode escolher um dos Costumes acima ou Cristais Bonus como recompensa pela sua primeira compra de Cristais!";"Можешь выбрать один из этих скинов и бонусные кристаллы в награду за свою первую покупку кристаллов!";"¡Puedes elegir uno de los aspectos anteriores o cristales de bonificación como recompensa por tu primera compra de cristales!";"Puoi scegliere uno degli aspetti qua sopra o dei cristalli bonus come ricompensa per il tuo primo acquisto di Cristalli!";"";"";"Je kan een van de bovenstaande kostuums of bonus kristallen kiezen als een beloning voor je eerste kristallen aankoop!";"Możesz wybrać jedną z powyższych skórek lub bonusowe kryształy za swój pierwszy zakup!";"Valitse yksi ohessa olevista palkinnoista tehdessäsi ensimmäisen kristallioston!";"Você pode escolher uma das skins abaixo ou bônus em cristais como recompensa após sua primeira compra de cristais!";"İlk satın alma bonusu olarak yukarıda gösterilen ödüllerden bir tanesini seçebilirsiniz!";"Можете да изберете един от посочените горе скинове или бонус кристали като награда за първа покупа на кристали!";"Můžeš si vybrat jeden ze skinů výše, nebo bonus krystalů jako odměnu za první nákup krystalů!";"Μπορείς να διαλέξεις μία από τις παραπάνω εμφανίσεις ή μπόνους κρυστάλλους σαν ανταμοιβή για την πρώτη σου αγορά κρυστάλλων!";"Választhatsz a fenti kinézetek vagy kristályok közül, kizárólag az első váráslásod alkalmából!";"Du kan velge ett av de ovennevnte, skinn eller bonus krystaller som en belønning for din første krystaller kjøpet!";"Puteți alege una dintre skin-urile de mai sus sau cristale bonus ca recompensă pentru primele dvs. cristale cumpărate!";"¡Puedes elegir una de las pieles o cristales de bono como recompensa por tu primera compra de cristales!";"Ви можете вибрати один з перерахованих вище скінів або бонусні кристали як винагороду за свою першу купівлю кристалів!";"يمكنك اختيار اي شكل او الجوائز اعلاه كمئافئة لاول عملية شراء للجواهر";"您可以由上列皮肤中择一或是选取优惠水晶作为您第一次购买水晶的奖赏！";"你可以由上列皮膚中擇一或是選取優惠水晶作為你第一次購買水晶的獎賞！";"";"첫 수정 구매 시, 보상으로 위에 있는 스킨이나 보너스 수정 중 하나를 선택할 수 있습니다!";"";""
