"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"card_unlock_black_bronze_all_title";"Servant of Darkness";"Schattendiener";"Serviteur des ténèbres";"Servo das Escuridão";"Слуга тьмы";"Siervo de la Oscuridad";"Servitore dell'Oscurità";"";"";"Dienaar van de Duisternis";"Sługa ciemności";"";"Servo da Escuridão";"Karanlığın Hizmetkarı";"";"Služebník Temnoty";"Υπηρέτης τού Σκότους";"A Sötétség Szolgálója";"";"Slujitor al întunericului";"";"Слуга темряви";"خادم الظلام";"黑暗之仆";"黑暗之僕";"";"어둠의 종";"ข้ารับใช้แห่งความมืด";""
"card_unlock_black_silver_all_title";"Acolyte of Darkness";"Schattenakolyth";"Acolyte des ténèbres";"Acólito das Escuridão";"Служитель тьме";"Acólito de la oscuridad";"Accolito dell'Oscurità";"";"";"Acoliet van de Duisternis";"Akolita ciemności";"";"Acólito da Escuridão";"Karanlığın Yardımcısı";"";"Ministrant Temnoty";"Διάκονος του Σκότους";"A Sötétség Tanítványa";"";"Ocolitorul întunericului";"";"Служитель темряви";"مساعد الظلام";"黑暗侍者";"黑暗侍者";"";"어둠의 수행사제";"";""
"card_unlock_black_gold_all_title";"Prince of Darkness";"Schattenf?st";"Prince des ténèbres";"Príncipe da Escuridão";"Принц тьмы";"Príncipe de la oscuridad";"Principe dell'Oscurità";"";"";"Prins van de Duisternis";"Książę Ciemności";"";"Príncipe da Escuridão";"Karanlığın Prensi";"";"Princ Temnoty";"Πρίγκιπας του Σκότους";"A Sötétség Hercege";"";"Prințul Intunericului";"";"Принц пітьми";"امير الظلام";"黑暗王子";"黑暗王子";"";"어둠의 왕자";"เจ้าชายแห่งความมืด";""
"card_unlock_black_all_title";"Sovereign of Darkness";"Gebieter der Schatten";"Souverain des Ténèbres";"Soberano da Escuridão";"Независимость тьмы";"Soberano de la oscuridad";"Sovrano dell'Oscurità";"";"";"Soeverein van de Duisternis";"Suwerenność ciemności";"";"Soberano da Escuridão";"Karanlığın Hükümdarı";"";"Vládce Temnoty";"Άρχοντας του Σκότους";"A Sötétség Császára";"";"Suveranul întunericului";"";"Незалежність темряви";"سيد الظلام";"黑暗君主";"黑暗君主";"";"어둠의 군주";"";""
"card_unlock_blue_bronze_all_title";"Intelligent Algorithm";"Intelligenter Algorithmus";"Algorithme intelligent";"Algoritmo Inteligente";"Интеллектуальный алгоритм";"Algoritmo Inteligente";"Algoritmo Intelligente";"";"";"Intelligent Algoritme";"Inteligentny Algorytm";"";"Algoritmo Inteligente";"Akıllı Algoritma";"";"Inteligentní Algoritmus";"Έξυπνος Αλγόριθμος";"Intelligens Algoritmus";"";"Algoritm inteligent";"";"Інтелектуальний алгоритм";"خوارزمية ذكية";"智能方程";"智能方程";"";"지능형 알고리즘";"";""
"card_unlock_blue_silver_all_title";"Artificial Intelligence";"K?stliche Intelligenz";"Intelligence Artificielle";"Inteligência Artificial";"Искусственный интеллект";"Inteligencia artificial";"Intelligenza Artificiale";"";"";"Kunstmatige Intelligentie";"Sztuczna Inteligencja";"";"Inteligência Artificial";"Yapay Zeka";"";"Umělá inteligence";"Τεχνητή Νοημοσύνη";"Mesterséges Intelligencia";"";"Inteligenta artificiala";"";"Штучний інтелект";"ذكاء اصطناعي";"人工智能";"人工智能";"";"인공 지능";"";""
"card_unlock_blue_gold_all_title";"Superintelligence";"Superintelligenz";"Super-intelligence";"Superinteligência";"Сверхразум";"Superinteligencia";"Superintelligenza";"";"";"Superintelligentie";"Super Inteligencja";"";"Superinteligência";"Süper Zeka";"";"Superinteligence";"Υπερευφυΐα";"Szuperintelligencia";"";"Superinteligențâ";"";"Надрозум";"ذكاء خارق";"超级智能";"超級智能";"";"초지능";"";""
"card_unlock_blue_all_title";"Technological Singularity";"Technologische Singularit舩";"Singularité technologique";"Singularidade Tecnológica";"Технологическая сингулярность";"Singularidad Tecnológica";"Singolarità Tecnologica";"";"";"Technologische Singulariteit";"Technologiczna Osobliwość";"";"Singularidade Tecnológica";"Teknolojik Tekillik";"";"Technologická Singularita";"Τεχνολογική Μοναδικότητα";"Technológiai Szingularitás";"";"Singularitate tehnologică";"";"Технологічна сингулярність";"تكامل التكنولوجيا";"奇点技术";"奇點技術";"";"기술적 특이점";"";""
"card_unlock_colorless_bronze_all_title";"Heap of Stones";"Steinhaufen";"Tas de Pierres";"Monte de Pedras";"Груда камней";"Montón de piedras";"Cumulo di Pietre";"";"";"Hoop van Stenen";"Sterta Kamieni";"";"Pilha de Pedras";"Taş Yığını";"";"Hromada Kamenů";"Σωρός από λίθους";"Kőrakás";"";"Morman de pietre";"";"Купа каміння";"كومة صخور";"一堆石头";"一堆石頭";"";"돌 무더기";"";""
"card_unlock_colorless_silver_all_title";"Rock Formation";"Felsformation";"Formation de roche";"Formação Rochosa";"Скальное образование";"Formación Rocosa";"Formazione Rocciosa";"";"";"Rotsformatie";"Formacja Skalna";"";"Formação Rochosa";"Kaya Oluşumu";"";"Skalní Útvar";"Σχηματισμός βράχων";"Kőformálás";"";"Formare stâncă";"";"Скельна освіта";"تشكيل صخور";"岩石阵";"岩石陣";"";"돌 형성물";"";""
"card_unlock_colorless_gold_all_title";"Mountain Range";"Gebirgszug";"Chaîne de Montagnes";"Alcance De Montanha";"Горный хребет";"Cordillera";"Catena Montuosa";"";"";"Berg Bereik";"Pasmo Górskie";"";"Cadeia de Montanhas";"Sıradağlar";"";"Pohoří";"Οροσειρά";"Hegyvidék";"";"Lanțul montan";"";"Гірський хребет";"جبال";"山脉";"山脈";"";"산맥";"";""
