"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"tutorial_game_dialog_caption";"Willkommen in Rise of Legions!";"Welcome to Rise of Legions!";"Bienvenue dans Rise of Legions!";"Bem vindo a Rise of Legions!";"Добро пожаловать в Rise of Legions!";"¡Bienvenido a Rise of Legions!";"Benvenuto su Rise of Legions!";"Velkommen til Rise of Legions!";"Välkommen till Rise of Legions!";"Welkom in Rise of Legions!";"Witaj w Rise of Legions!";"Tervetuloa Rise of Legionsiin!";"Bem-vindo ao Rise of Legions!";"Rise of Legions'a hoş geldiniz!";"Добре дошли в Възхода на Легиони!";"Vítejte do hry Rise of Legions!";"Καλωσήλθες στο Rise of Legions!";"Üdvözlünk a Rise of Legions-ben!";"";"Bine aţi venit la Rise of Legions!";"¡Bienvenido a Rise of Legions!";"Ласкаво просимо до Rise of Legions!";"مرحبا بك في رايز اوف ليجينز!";"欢迎来到 Rise of Legions！";"歡迎來到 Rise of Legions！";"";"Rise of Legions에 오신 것을 환영합니다!";"ยินดีต้อนรับสู่ Rise of Legion!";""
"tutorial_game_dialog_text";"Lass uns zur Einführung eine schnelle Runde gegen den Computer spielen. Viel Spaß!";"Let’s play a quick match against the AI to learn the basics of the game. Have fun!";"Jouons une partie rapide contre l'IA pour apprendre les bases du jeu. Amusez-vous bien!";"Vamos começar um jogo rápido contra a IA para aprender o básico sobre o jogo. Diverte-te!";"Сыграем быстрый матч против AI, чтобы разобраться в основах игры. Приятной игры!";"Juguemos una partida rápida contra la IA para aprender las nociones básicas del juego ¡Diviértete!";"Gioca una partita veloce contro l'IA per imparare le basi del gioco. Divertiti!";"Lad os spille en hurtig kamp mod computeren for at lære basisen af spillet. Hav det sjovt!";"Låt oss spela en snabb match mot AI för att lära sig grunderna i spelet. Ha så kul!";"Laten we een snel potje spelen tegen een AI om de basis van het spel te leren. Veel plezier!";"Zagrajmy szybki pojedynek przeciw SI, aby poznać podstawy gry. Baw się dobrze!";"Pelataan nopea ottelu tekoälyä vastaan oppiaksemme pelin perusasiat. Pidä hauskaa!";"Vamos jogar uma partida rápida contra a IA para aprender os comandos básicos do jogo. Divirta-se!";"Temel bilgileri öğrenmek için Bot ile hızlı bir maç yapalım. İyi eğlenceler!";"";"Pojďme dát rychlou hru proti počítači, ať se naučíš základy hry. Hlavně se bav!";"Ας παίξουμε ένα γρήγορο ματς εναντίον της Τεχνητής Νοημοσύνης (ΤΝ) για να μάθεις τα βασικά τού παιχνιδιού. Καλή διασκέδαση!";"";"";"Să jucăm un meci rapid împotriva AI pentru a afla elementele de bază ale jocului. Distractie placută!";"";"Давайте зіграємо швидкий поєдинок проти ШІ, щоб вивчити основи гри. Веселіться!";"لنعلب مباراة سريعة ضد الجهاز لنتعلم مبادئة اللعبة. استمتع!";"让我们来玩一场与 AI 的快速对战来学习这游戏的基本操作。来玩吧！";"讓我們來玩一場與 AI 的快速對戰來學習這遊戲的基本操作。來玩吧！";"";"AI와 빠른 대전을 통해 게임의 기본을 배워봅시다. 재미있는 시간 보내세요!";"";""
"tutorial_game_dialog_play";"Los geht's!";"Let's go!";"Allons-y!";"Vamos!";"Поехали!";"¡Empecemos!";"Andiamo!";"Lad os gå!";"Nu kör vi!";"Laten we beginnen!";"Lecimy!";"Mentiin!";"Vamos lá!";"Devam!";"";"Pojďme na to!";"Φύγαμε!";"Indulás!";"";"Să mergem!";"";"Вперед!";"هيا بنا!";"走吧！";"開始吧！";"";"가자!";"เริ่มกันเลย!";""
"tutorial_text_opener";"Willkommen im Tutorial!\nAber verschwenden wir keine Zeit, die Golems besiegen sich nicht von allein.";"Welcome to the tutorial!";"Bienvenue dans le tutoriel!";"Bem vindo ao tutorial!";"Добро пожаловать в обучение!";"¡Bienvenido al tutorial!";"Benvenuto nell'addestramento!";"";"Välkommen till handledningen!";"Welkom bij de handleiding!";"Witaj w samouczku!";"Tervetuloa opetuspeliin!";"Bem-vindo ao tutorial!";"Öğreticiye hoş geldiniz!";"Добре дошли в урока!";"Vítej v tutoriálu!";"Καλωσήλθες στο μάθημα!";"";"";"Bine ați venit la tutorial!";"";"Ласкаво просимо до навчального посібника!";"مرحبا بك في التعليم!";"欢迎来到教学模式！";"歡迎來到教學模式！";"";"튜토리얼에 오신 것을 환영합니다!";"ยินดีต้อนรับสู่บทฝึกสอน";""
"tutorial_text_opener_confirm";"Na dann los!";"Let‘s go!";"Allons-y!";"Vamos!";"Поехали!";"¡Empecemos!";"Andiamo!";"Lad os begynde!";"Nu kör vi!";"Laten we verder gaan!";"Ruszajmy!";"Mentiin!";"Vamos lá!";"Devam!";"";"Pojďme na to!";"Φύγαμε!";"";"";"Să mergem!";"";"Вперед!";"هيا بنا!";"走吧！";"開始吧！";"";"가자!";"";""
"tutorial_text_goal";"Dein Ziel ist es die gegnerische Basis zu zerstören.";"Your goal is to destroy the enemy base.";"Votre but est de détruire la base ennemie.";"O teu objetivo é destruir a base inimiga.";"Твоя цель - уничтожить вражескую базу.";"Tu objetivo es destruir la base enemiga.";"Il tuo obiettivo è quello di distruggere la base nemica.";"Dit mål er at smadre din modstanders base.";"Ditt mål är att första din fiendes bas.";"Je doel is om je vijand's baas te vernietigen.";"Twoim celem jest zniszczenie wrogiej bazy.";"Sinun tehtäväsi on tuhota vihollisen tukikohta.";"Seu objetivo é destruir a base inimiga.";"Hedefiniz rakip sizin üssünüzü yok etmeden önce onun üssünü yok etmek.";"";"Úkolem je zničit základnu soupeře.";"Ο στόχος σου είναι να καταστρέψεις την εχθρική βάση.";"";"";"Scopul tău este să distrugi baza inamică.";"";"Ваша мета - знищити базу противника.";"هدفك هو تدمير قاعدة العدو.";"你的最终目标是摧毁敌方的基地。";"你的最終目標就是摧毀敵方的基地。";"";"목표는 적 본진을 파괴하는 것입니다.";"";""
"tutorial_text_goal_confirm";"Kleinigkeit!";"Got it!";"Compris!";"Consegui!";"Понятно!";"¡Entendido!";"Capito!";"Forstået!";"Jag fattar!";"";"Rozumiem!";"Selvä!";"Entendi!";"Anladım!";"Стана!";"To je ono!";"Το 'χω!";"Értem!";"";"Am înţeles!";"";"Зрозумів!";"فهمت!";"知道了！";"了解！";"";"알겠습니다!";"เข้าใจแล้ว!";""
"tutorial_text_spawner_cost_confirm";"Verstanden!";"Ok!";"Ok!";"Ok!";"Ок!";"¡Vale!";"Ok!";"Ok!";"Ok!";"Ok!";"Dobrze!";"Ok!";"Ok!";"Tamam!";"OK!";"Ok!";"ΟΚ!";"Oké!";"";"Ok!";"";"Гаразд!";"نعم!";"好的！";"好的！";"";"확인!";"";""
"tutorial_text_game_start_confirm";"Endlich!";"Finally!";"Enfin!";"Finalmente!";"Наконец-то!";"¡Por fin!";"Finalmente!";"Endelig!";"Äntligen!";"Eindelijk!";"Nareszcie!";"Viimeinkin!";"Finalmente!";"Sonunda!";"";"Konečně!";"Επιτέλους!";"Végre!";"";"În sfarșit!";"";"Нарешті!";"و اخيرا!";"终于！";"終於呀！";"";"드디어!";"ในที่สุด!";""
"tutorial_text_gameplay_description";"Deine <span class=""keyword essence"">Spawner</span> haben ein paar Einheiten produziert.\nSie laufen automatisch zur gegnerischen Basis. Schauen wir mal was passiert...";"Your <span class=""keyword essence"">Spawners</span> produced some units. \nThey walk automatically towards the enemy base. Let's watch what happens...";"Vos <span class=""keyword essence"">invocateurs</span> on produit des unités. \nIls marchent automatiquement vers la base ennemie. Regardons ce qui va se passer...";"Os teus <span class=""keyword essence"">Criadores</span> produzem algumas unidades.\n Eles avançam automaticamente para a base inimiga. Vamos ver o que vai acontecer...";"Ваш <span class=""keyword essence"">спавнер</span> произвел несколько юнитов. \nЮниты автоматически идут на вражескую базу. Давайте посмотрим, что произойдёт...";"Tus <span class=""keyword essence"">generadores</span> han producido algunas unidades.\nEllas caminan automáticamente hacia la base enemiga. Vamos a ver qué pasa...";"I tuoi <span class=""keyword essence"">Spawn</span> producono alcune unità. \nEsse avanzeranno automaticamente verso la base nemica. Aspetta ed osserva cosa accade...";"";"Din <span class=""keyword essence"">Lekande</span> producerade några enheter.\nDe går automatiskt mot fiendens bas. Låt oss se vad som händer...";"";"Twoje <span class=""keyword essence"">przywoływacze</span> tworzą jednostki. \nIdą one automatycznie do bazy przeciwnika. Ciekawe co się stanie...";"Tukikohtasi <span class=""keyword essence"">oliogeneraattorit</span> tuottivat joitakin yksiköitä. \nNe etenevät automaattisesti kohti vihollisen tukikohtaa. Katsotaan, mitä tapahtuu...";"Seu <span class=""keyword essence"">Geradores</span> produz algumas unidades. \nElas andam automaticamente em direção á base inimiga. Vamos ver o que acontece...";"<span class=""keyword essence"">Üreticin</span> bazı birimler üretti. \nOtomatik olarak düşman üssüne doğru yürüyorlar. Ne olacağını görelim bakalım...";"";"Tvoje <span class=""keyword essence"">Spawnery</span> vytvořily několik jednotek. \nTy automaticky jdou k základně soupeře. Pojďme se podívat co se stane...";"Οι <span class=""keyword essence"">Γεννήτορές</span> σου παρήγαγαν μερικές μονάδες.\nΑυτοί προχωρούν αυτόματα προς την εχθρική βάση. Γιά να δούμε τι θα γίνει...";"";"";"Reproducători <span class=""keyword essence"">tăi</span> au produs niște unități. \nMerg automat către baza inamică. Să urmărim ce se întâmplă...";"";"Ваш <span class=""keyword essence"">Спавнер</span> створив деяких юнітів. \nВони йдуть автоматично до бази ворога. Давайте подивимося, що станеться...";"";"你的 <span class=""keyword essence"">生成单位</span> 会造出各自的单位。 \n单位将会自动走向敌方基地。让我们看看这一切怎么发生...";"你的 <span class=""keyword essence"">生成單位</span> 會造出各自的單位。 \n單位將會自動走向敵方基地。讓我們看看這一切怎麼發生...";"";"<span class=""keyword essence"">생성기</span>는 유닛을 생성합니다.\n생성된 유닛은 적 본진을 향해 자동으로 이동합니다. 무슨 일이 일어나는지 보시죠...";"";""
